candles read:
from: 2020-Aug-11 06:00:00
to: 2023-Apr-11 15:55:00
difference: 973d 09:55:00.000000
count: 1400292
duration: 1.519616
began: 2023-Apr-20 10:04:27
it: 0, temperature: 94, curr value: -72.7006, best value: 114.883
it: 161, temperature: 15.4412, curr value: 161.308, best value: 187.048
it: 162, temperature: 15.4256, curr value: 168.153, best value: 187.048
it: 163, temperature: 15.4102, curr value: 159.881, best value: 187.048
it: 164, temperature: 15.3948, curr value: 159.881, best value: 187.048
it: 165, temperature: 15.3796, curr value: 159.881, best value: 187.048
it: 166, temperature: 15.3645, curr value: 168.153, best value: 187.048
it: 167, temperature: 15.3495, curr value: 177.233, best value: 187.048
it: 168, temperature: 15.3347, curr value: 161.308, best value: 187.048
it: 169, temperature: 15.3199, curr value: 182.425, best value: 187.048
it: 170, temperature: 15.3053, curr value: 188.133, best value: 192.606
it: 171, temperature: 15.2908, curr value: 167.063, best value: 192.606
it: 172, temperature: 15.2764, curr value: 167.063, best value: 192.606
it: 173, temperature: 15.2621, curr value: 142.737, best value: 192.606
it: 174, temperature: 15.2479, curr value: 145.103, best value: 192.606
it: 175, temperature: 15.2338, curr value: 121.387, best value: 192.606
it: 176, temperature: 15.2198, curr value: 141.993, best value: 192.606
it: 177, temperature: 15.206, curr value: 141.993, best value: 192.606
it: 178, temperature: 15.1922, curr value: 154.692, best value: 192.606
it: 179, temperature: 15.1785, curr value: 153.06, best value: 192.606
it: 180, temperature: 15.165, curr value: 119.437, best value: 192.606
it: 181, temperature: 15.1515, curr value: 162.694, best value: 192.606
it: 182, temperature: 15.1381, curr value: 176.575, best value: 192.606
it: 183, temperature: 15.1249, curr value: 159.631, best value: 192.606
it: 184, temperature: 15.1117, curr value: 148.442, best value: 192.606
it: 185, temperature: 15.0986, curr value: 156.542, best value: 192.606
it: 186, temperature: 15.0856, curr value: 146.793, best value: 192.606
it: 187, temperature: 15.0727, curr value: 119.415, best value: 192.606
it: 188, temperature: 15.0599, curr value: 132.62, best value: 192.606
it: 189, temperature: 15.0472, curr value: 147.349, best value: 192.606
it: 190, temperature: 15.0345, curr value: 153.224, best value: 192.606
it: 191, temperature: 15.022, curr value: 150.261, best value: 192.606
it: 192, temperature: 15.0095, curr value: 166.218, best value: 192.606
it: 193, temperature: 14.9971, curr value: 172.039, best value: 192.606
it: 194, temperature: 14.9849, curr value: 142.019, best value: 192.606
it: 195, temperature: 14.9726, curr value: 149.232, best value: 192.606
it: 196, temperature: 14.9605, curr value: 146.947, best value: 192.606
it: 197, temperature: 14.9485, curr value: 142.585, best value: 192.606
it: 198, temperature: 14.9365, curr value: 160.419, best value: 192.606
it: 199, temperature: 14.9246, curr value: 162.091, best value: 192.606
it: 200, temperature: 14.9128, curr value: 200.657, best value: 200.657
it: 201, temperature: 14.9011, curr value: 194.009, best value: 200.968
it: 202, temperature: 14.8894, curr value: 194.009, best value: 200.968
it: 203, temperature: 14.8778, curr value: 194.009, best value: 200.968
it: 204, temperature: 14.8663, curr value: 156.574, best value: 200.968
it: 205, temperature: 14.8549, curr value: 148.93, best value: 200.968
it: 206, temperature: 14.8435, curr value: 172.394, best value: 200.968
it: 207, temperature: 14.8323, curr value: 172.394, best value: 200.968
it: 208, temperature: 14.821, curr value: 169.817, best value: 200.968
it: 209, temperature: 14.8099, curr value: 169.817, best value: 200.968
it: 210, temperature: 14.7988, curr value: 123.594, best value: 200.968
it: 211, temperature: 14.7878, curr value: 123.594, best value: 200.968
it: 212, temperature: 14.7769, curr value: 110.249, best value: 200.968
it: 213, temperature: 14.766, curr value: 137.888, best value: 200.968
it: 214, temperature: 14.7552, curr value: 152.074, best value: 200.968
it: 215, temperature: 14.7445, curr value: 142.02, best value: 200.968
it: 216, temperature: 14.7338, curr value: 147.402, best value: 200.968
it: 217, temperature: 14.7232, curr value: 151.771, best value: 200.968
it: 218, temperature: 14.7126, curr value: 157.784, best value: 200.968
it: 219, temperature: 14.7021, curr value: 157.784, best value: 200.968
it: 220, temperature: 14.6917, curr value: 160.688, best value: 200.968
it: 221, temperature: 14.6814, curr value: 175.858, best value: 200.968
it: 222, temperature: 14.6711, curr value: 167.215, best value: 200.968
it: 223, temperature: 14.6608, curr value: 157.772, best value: 200.968
it: 224, temperature: 14.6506, curr value: 146.873, best value: 200.968
it: 225, temperature: 14.6405, curr value: 167.215, best value: 200.968
it: 226, temperature: 14.6305, curr value: 160.688, best value: 200.968
it: 227, temperature: 14.6205, curr value: 145.582, best value: 200.968
it: 228, temperature: 14.6105, curr value: 145.582, best value: 200.968
it: 229, temperature: 14.6006, curr value: 129.038, best value: 200.968
it: 230, temperature: 14.5908, curr value: 129.038, best value: 200.968
it: 231, temperature: 14.581, curr value: 153.632, best value: 200.968
it: 232, temperature: 14.5713, curr value: 164.466, best value: 200.968
it: 233, temperature: 14.5616, curr value: 165.392, best value: 200.968
it: 234, temperature: 14.552, curr value: 150.693, best value: 200.968
it: 235, temperature: 14.5425, curr value: 165.88, best value: 200.968
it: 236, temperature: 14.533, curr value: 156.598, best value: 200.968
it: 237, temperature: 14.5235, curr value: 165.836, best value: 200.968
it: 238, temperature: 14.5141, curr value: 165.836, best value: 200.968
it: 239, temperature: 14.5047, curr value: 181.334, best value: 200.968
it: 240, temperature: 14.4954, curr value: 181.334, best value: 200.968
it: 241, temperature: 14.4862, curr value: 166.164, best value: 200.968
it: 242, temperature: 14.477, curr value: 129.571, best value: 200.968
it: 243, temperature: 14.4678, curr value: 144.287, best value: 200.968
it: 244, temperature: 14.4587, curr value: 161.462, best value: 200.968
it: 245, temperature: 14.4497, curr value: 161.462, best value: 200.968
it: 246, temperature: 14.4407, curr value: 161.462, best value: 200.968
it: 247, temperature: 14.4317, curr value: 137.859, best value: 200.968
it: 248, temperature: 14.4228, curr value: 140.896, best value: 200.968
it: 249, temperature: 14.4139, curr value: 140.896, best value: 200.968
it: 250, temperature: 14.4051, curr value: 137.88, best value: 200.968
it: 251, temperature: 14.3964, curr value: 145.784, best value: 200.968
it: 252, temperature: 14.3876, curr value: 154.659, best value: 200.968
it: 253, temperature: 14.3789, curr value: 147.91, best value: 200.968
it: 254, temperature: 14.3703, curr value: 105.516, best value: 200.968
it: 255, temperature: 14.3617, curr value: 154.143, best value: 200.968
it: 256, temperature: 14.3532, curr value: 151.205, best value: 200.968
it: 257, temperature: 14.3447, curr value: 134.223, best value: 200.968
it: 258, temperature: 14.3362, curr value: 175.041, best value: 200.968
it: 259, temperature: 14.3278, curr value: 158.65, best value: 200.968
it: 260, temperature: 14.3194, curr value: 134.295, best value: 200.968
it: 261, temperature: 14.3111, curr value: 154.74, best value: 200.968
it: 262, temperature: 14.3028, curr value: 152.008, best value: 200.968
it: 263, temperature: 14.2945, curr value: 133.103, best value: 200.968
it: 264, temperature: 14.2863, curr value: 138.78, best value: 200.968
it: 265, temperature: 14.2781, curr value: 135.386, best value: 200.968
it: 266, temperature: 14.27, curr value: 145.504, best value: 200.968
it: 267, temperature: 14.2619, curr value: 169.475, best value: 200.968
it: 268, temperature: 14.2538, curr value: 169.475, best value: 200.968
it: 269, temperature: 14.2458, curr value: 169.475, best value: 200.968
it: 270, temperature: 14.2379, curr value: 179.249, best value: 200.968
it: 271, temperature: 14.2299, curr value: 119.521, best value: 200.968
it: 272, temperature: 14.222, curr value: 129.865, best value: 200.968
it: 273, temperature: 14.2142, curr value: 185.34, best value: 200.968
it: 274, temperature: 14.2063, curr value: 185.34, best value: 200.968
it: 275, temperature: 14.1985, curr value: 188.606, best value: 200.968
it: 276, temperature: 14.1908, curr value: 188.606, best value: 200.968
it: 277, temperature: 14.1831, curr value: 188.606, best value: 200.968
it: 278, temperature: 14.1754, curr value: 188.606, best value: 200.968
it: 279, temperature: 14.1677, curr value: 188.606, best value: 200.968
it: 280, temperature: 14.1601, curr value: 179.06, best value: 200.968
it: 281, temperature: 14.1526, curr value: 179.06, best value: 200.968
it: 282, temperature: 14.145, curr value: 115.277, best value: 200.968
it: 283, temperature: 14.1375, curr value: 116.662, best value: 200.968
it: 284, temperature: 14.13, curr value: 106.42, best value: 200.968
it: 285, temperature: 14.1226, curr value: 115.793, best value: 200.968
it: 286, temperature: 14.1152, curr value: 171.991, best value: 200.968
it: 287, temperature: 14.1078, curr value: 171.991, best value: 200.968
it: 288, temperature: 14.1005, curr value: 171.991, best value: 200.968
it: 289, temperature: 14.0932, curr value: 171.991, best value: 200.968
it: 290, temperature: 14.0859, curr value: 171.991, best value: 200.968
it: 291, temperature: 14.0787, curr value: 171.991, best value: 200.968
it: 292, temperature: 14.0715, curr value: 148.286, best value: 200.968
it: 293, temperature: 14.0643, curr value: 153.405, best value: 200.968
it: 294, temperature: 14.0572, curr value: 170.728, best value: 200.968
it: 295, temperature: 14.0501, curr value: 171.358, best value: 200.968
it: 296, temperature: 14.043, curr value: 163.564, best value: 200.968
it: 297, temperature: 14.0359, curr value: 163.564, best value: 200.968
it: 298, temperature: 14.0289, curr value: 169.814, best value: 200.968
it: 299, temperature: 14.0219, curr value: 171.358, best value: 200.968
it: 300, temperature: 14.015, curr value: 147.872, best value: 200.968
it: 301, temperature: 14.0081, curr value: 147.872, best value: 200.968
it: 302, temperature: 14.0012, curr value: 127.409, best value: 200.968
it: 303, temperature: 13.9943, curr value: 131.61, best value: 200.968
it: 304, temperature: 13.9874, curr value: 129.5, best value: 200.968
it: 305, temperature: 13.9806, curr value: 83.5156, best value: 200.968
it: 306, temperature: 13.9739, curr value: 96.2908, best value: 200.968
it: 307, temperature: 13.9671, curr value: 113.316, best value: 200.968
it: 308, temperature: 13.9604, curr value: 104.455, best value: 200.968
