time,exit indicator
1559504700,268.155182
1559506500,267.841339
1559508300,267.680511
1559510100,267.624664
1559511900,267.590515
1559513700,267.563843
1559515500,267.541321
1559517300,267.593170
1559519100,267.748840
1559520900,267.795837
1559522700,267.712006
1559524500,267.557159
1559526300,267.509155
1559528100,267.516510
1559529900,267.587494
1559531700,267.761658
1559533500,267.867340
1559535300,267.910156
1559537100,267.982330
1559538900,267.991180
1559540700,267.913177
1559542500,267.789673
1559544300,267.477844
1559546100,266.844177
1559547900,266.294830
1559549700,265.958679
1559551500,265.711823
1559553300,265.347015
1559555100,264.944672
1559556900,264.556824
1559558700,264.174011
1559560500,263.830322
1559562300,263.486511
1559564100,263.143494
1559565900,262.834320
1559567700,262.579010
1559569500,262.328674
1559571300,262.128510
1559573100,262.062836
1559574900,261.872833
1559576700,261.646149
1559578500,261.490997
1559580300,261.476501
1559582100,261.449341
1559583900,261.275513
1559585700,261.035339
1559587500,260.803497
1559589300,260.655518
1559591100,260.524017
1559592900,260.371185
1559594700,260.256683
1559596500,260.163177
1559598300,260.026489
1559600100,259.983185
1559601900,260.015503
1559603700,259.940338
1559605500,259.516663
1559607300,258.659668
1559609100,257.706329
1559610900,256.963013
1559612700,256.241821
1559614500,255.443161
1559616300,254.630829
1559618100,253.813507
1559619900,252.863663
1559621700,251.800995
1559623500,250.881500
1559625300,250.171173
1559627100,249.484665
1559628900,248.768005
1559630700,247.975342
1559632500,247.416672
1559634300,247.192841
1559636100,247.168167
1559637900,247.026169
1559639700,246.847672
1559641500,246.731995
1559643300,246.674332
1559645100,246.593674
1559646900,246.631836
1559648700,246.764832
1559650500,246.751663
1559652300,246.643829
1559654100,246.681671
1559655900,246.925995
1559657700,247.288498
1559659500,247.669327
1559661300,248.030502
1559663100,248.272675
1559664900,248.437668
1559666700,248.614166
1559668500,248.592499
1559670300,248.227341
1559672100,247.827835
1559673900,247.516830
1559675700,246.976669
1559677500,246.319000
1559679300,245.669495
1559681100,244.980164
1559682900,244.270340
1559684700,243.431992
1559686500,242.494339
1559688300,241.709503
1559690100,241.004837
1559691900,240.370331
1559693700,239.874496
1559695500,239.604828
1559697300,239.575836
1559699100,239.577667
1559700900,239.468002
1559702700,239.681503
1559704500,240.057327
1559706300,240.386658
1559708100,240.613159
1559709900,240.718826
1559711700,240.969162
1559713500,241.339493
1559715300,241.589493
1559717100,241.753159
1559718900,241.921005
1559720700,242.110672
1559722500,242.370499
1559724300,242.563995
1559726100,242.836166
1559727900,243.130661
1559729700,243.369003
1559731500,243.630493
1559733300,243.931503
1559735100,244.157333
1559736900,244.371002
1559738700,244.570831
1559740500,244.659668
1559742300,244.758835
1559744100,244.864670
1559745900,244.806000
1559747700,244.504501
1559749500,244.050827
1559751300,243.770493
1559753100,243.631332
1559754900,243.558502
1559756700,243.511993
1559758500,243.437668
1559760300,243.320999
1559762100,243.358658
1559763900,243.478500
1559765700,243.548492
1559767500,243.673660
1559769300,243.647995
1559771100,243.671494
1559772900,243.908325
1559774700,244.302994
1559776500,244.749161
1559778300,245.101334
1559780100,245.236160
1559781900,245.297333
1559783700,245.276840
1559785500,245.291840
1559787300,245.385834
1559789100,245.413162
1559790900,245.421661
1559792700,245.485336
1559794500,245.566833
1559796300,245.720505
1559798100,245.841995
1559799900,245.870499
1559801700,245.835999
1559803500,245.807327
1559805300,245.779495
1559807100,245.730499
1559808900,245.615829
1559810700,245.572174
1559812500,245.539169
1559814300,245.437668
1559816100,245.293839
1559817900,245.148834
1559819700,245.045166
1559821500,244.982834
1559823300,244.909668
1559825100,244.820496
1559826900,244.691330
1559828700,244.511002
1559830500,244.323837
1559832300,244.080826
1559834100,243.883163
1559835900,243.793503
1559837700,243.668839
1559839500,243.501328
1559841300,243.324661
1559843100,243.151337
1559844900,242.828339
1559846700,242.334000
1559848500,241.862839
1559850300,241.464005
1559852100,241.145004
1559853900,240.994339
1559855700,240.955826
1559857500,240.961670
1559859300,241.006668
1559861100,241.056839
1559862900,241.127670
1559864700,241.355667
1559866500,241.725342
1559868300,242.075165
1559870100,242.419006
1559871900,242.889999
1559873700,243.472000
1559875500,244.014160
1559877300,244.573502
1559879100,245.027664
1559880900,245.346832
1559882700,245.600494
1559884500,245.792496
1559886300,246.039673
1559888100,246.367172
1559889900,246.690170
1559891700,246.865005
1559893500,246.870163
1559895300,246.936325
1559897100,247.052170
1559898900,247.134995
1559900700,247.203171
1559902500,247.284668
1559904300,247.392502
1559906100,247.527161
1559907900,247.666336
1559909700,247.764328
1559911500,247.870834
1559913300,247.899338
1559915100,247.876328
1559916900,247.855331
1559918700,247.815826
1559920500,247.790329
1559922300,247.782501
1559924100,247.822006
1559925900,248.036499
1559927700,248.347168
1559929500,248.619339
1559931300,248.878494
1559933100,249.160660
1559934900,249.401505
1559936700,249.560837
1559938500,249.631500
1559940300,249.688004
1559945760,249.764832
1559947560,249.865341
1559949360,250.013336
1559951160,250.135834
1559952960,250.213165
1559954760,250.253998
1559956560,250.172836
1559958360,250.009003
1559960160,249.773331
1559961960,249.472504
1559963760,249.183670
1559965560,248.953995
1559967360,248.806839
1559969160,248.763504
1559970960,248.779160
1559972760,248.752670
1559974560,248.631165
1559976360,248.415329
1559978160,248.165833
1559979960,247.974670
1559981760,247.805496
1559983560,247.643997
1559985360,247.507172
1559987160,247.473328
1559988960,247.555161
1559990760,247.605667
1559992560,247.611328
1559994360,247.654327
1559996160,247.683502
1559997960,247.647995
1559999760,247.576828
1560001560,247.537506
1560003360,247.543503
1560005160,247.569000
1560006960,247.516327
1560008760,247.384506
1560010560,247.213165
1560012360,246.917175
1560014160,246.534500
1560015960,246.067169
1560017760,245.639832
1560019560,245.251831
1560021360,244.836670
1560023160,244.408340
1560024960,244.055832
1560026760,243.765335
1560028560,243.498001
1560030360,243.214005
1560032160,242.968994
1560033960,242.811829
1560035760,242.730331
1560037560,242.647003
1560039360,242.654663
1560041160,242.674332
1560042960,242.630005
1560044760,242.572830
1560046560,242.510498
1560048360,242.404999
1560050160,242.282166
1560051960,242.180832
1560053760,242.082169
1560055560,241.959671
1560057360,241.894333
1560059160,241.828827
1560060960,241.681335
1560062760,241.487503
1560064560,241.329330
1560066360,241.259674
1560068160,241.319672
1560069960,241.450165
1560071760,241.570175
1560073560,241.680832
1560075360,241.857498
1560077160,242.070999
1560078960,242.219009
1560080760,242.315002
1560082560,242.337509
1560084360,242.182175
1560086160,241.986832
1560087960,241.714172
1560089760,241.362839
1560091560,240.980499
1560093360,240.593002
1560095160,240.089676
1560096960,239.421844
1560098760,238.557999
1560100560,237.710846
1560102360,236.894165
1560104160,236.077011
1560105960,235.356674
1560107760,234.665833
1560109560,234.098007
1560111360,233.662338
1560113160,233.187012
1560114960,232.808670
1560116760,232.486176
1560118560,232.087845
1560120360,231.549164
1560122160,231.060333
1560123960,230.851166
1560125760,230.859177
1560127560,230.923172
1560129360,231.118668
1560131160,231.299164
1560132960,231.350327
1560134760,231.413162
1560136560,231.467834
1560138360,231.568832
1560140160,231.711502
1560141960,231.824005
1560143760,231.992828
1560145560,232.226334
1560147360,232.558670
1560149160,232.985825
1560150960,233.362671
1560152760,233.772003
1560154560,234.151337
1560156360,234.386658
1560158160,234.581833
1560159960,234.779160
1560161760,234.861832
1560163560,234.845825
1560165360,234.931839
1560167160,235.332993
1560168960,235.943497
1560170760,236.555832
1560172560,237.175339
1560174360,237.696503
1560176160,238.132172
1560177960,238.561340
1560179760,238.934326
1560181560,239.246826
1560183360,239.679993
1560185160,240.196335
1560186960,240.719330
1560188760,241.270340
1560190560,241.870331
1560192360,242.400665
1560194160,242.648499
1560195960,242.762497
1560197760,242.902161
1560199560,242.981003
1560201360,243.048996
1560203160,243.149002
1560204960,243.272491
1560206760,243.375000
1560208560,243.523163
1560210360,243.652161
1560212160,243.775833
1560213960,243.895660
1560215760,244.074326
1560217560,244.209671
1560219360,244.281006
1560221160,244.343826
1560222960,244.319824
1560224760,244.255997
1560226560,244.285172
1560228360,244.413666
1560230160,244.484665
1560231960,244.509323
1560233760,244.546326
1560235560,244.529495
1560237360,244.408493
1560239160,244.281326
1560240960,244.249496
1560242760,244.244827
1560244560,244.294159
1560246360,244.304993
1560248160,244.173828
1560249960,243.979324
1560251760,243.823669
1560253560,243.572830
1560255360,243.197495
1560257160,242.858170
1560258960,242.571671
1560260760,242.330505
1560262560,242.076004
1560264360,241.786163
1560266160,241.484665
1560267960,241.090500
1560269760,240.617996
1560271560,240.242172
1560273360,240.073837
1560275160,240.074173
1560276960,240.192505
1560278760,240.220169
1560280560,240.317337
1560282360,240.567673
1560284160,240.828827
1560285960,241.018158
1560287760,241.315170
1560289560,241.753830
1560291360,242.167664
1560293160,242.536499
1560294960,242.936325
1560296760,243.399658
1560298560,243.712830
1560300360,243.814667
1560302160,243.871002
1560303960,243.957336
1560305760,244.095337
1560307560,244.311325
1560309360,244.643158
1560311160,244.950668
1560312960,245.251160
1560314760,245.432495
1560316560,245.502823
1560318360,245.577835
1560320160,245.667160
1560321960,245.783325
1560323760,245.887665
1560325560,246.051498
1560327360,246.245499
1560329160,246.468658
1560330960,246.635330
1560332760,246.750504
1560334560,246.896835
1560336360,246.894836
1560338160,246.875336
1560339960,246.898834
1560341760,246.960159
1560343560,247.074829
1560345360,247.188660
1560347160,247.290665
1560348960,247.339661
1560350760,247.414993
1560352560,247.719498
1560354360,248.153336
1560356160,248.600327
1560357960,249.251160
1560359760,249.954834
1560361560,250.503326
1560363360,251.078171
1560365160,251.712006
1560366960,252.292160
1560368760,252.803162
1560370560,253.231659
1560372360,253.604828
1560374160,254.092331
1560375960,254.672501
1560377760,255.220657
1560379560,255.489990
1560381360,255.649826
1560383160,255.881165
1560384960,256.169159
1560386760,256.515320
1560388560,256.880493
1560390360,257.167175
1560392160,257.332489
1560393960,257.498322
1560395760,257.624176
1560397560,257.830994
1560399360,258.103485
1560401160,258.311340
1560402960,258.497681
1560404760,258.679840
1560406560,258.888000
1560408360,259.050507
1560410160,259.134827
1560411960,259.029510
1560413760,258.836487
1560415560,258.676666
1560417360,258.574677
1560419160,258.459991
1560420960,258.320160
1560422760,258.194489
1560424560,258.060181
1560426360,257.967010
1560428160,257.850494
1560429960,257.718323
1560431760,257.616821
1560433560,257.646332
1560435360,257.704987
1560437160,257.780182
1560438960,257.890991
1560440760,258.031677
1560442560,258.094513
1560444360,258.108673
1560446160,258.187683
1560447960,258.311005
1560449760,258.510834
1560451560,258.756500
1560453360,258.987183
1560455160,259.151001
1560456960,259.264679
1560458760,259.366180
1560460560,259.373993
1560462360,259.438660
1560464160,259.527008
1560465960,259.329498
1560467760,258.955505
1560469560,258.630981
1560471360,258.346313
