time,entry level 1,entry level 2,entry level 3
1503512940,283.007660,280.018158,274.039124
1503514740,282.915833,279.927277,273.950195
1503516540,282.917236,279.928680,273.951569
1503518340,282.920105,279.931519,273.954315
1503520140,282.941406,279.952606,273.974976
1503521940,282.810669,279.823242,273.848358
1503523740,282.697754,279.711517,273.739014
1503525540,282.579285,279.594299,273.624298
1503527340,282.429901,279.446503,273.479675
1503529140,282.299561,279.317535,273.353455
1503530940,282.179993,279.199219,273.237671
1503532740,282.010559,279.031586,273.073608
1503534540,281.848450,278.871185,272.916626
1503536340,281.721436,278.745483,272.793640
1503538140,281.593445,278.618866,272.669708
1503539940,281.473083,278.499786,272.553162
1503541740,281.394073,278.421600,272.476654
1503543540,281.370697,278.398468,272.454041
1503545340,281.356903,278.384827,272.440674
1503547140,281.376953,278.404663,272.460083
1503548940,281.410706,278.438080,272.492767
1503550740,281.420532,278.447784,272.502289
1503552540,281.433228,278.460358,272.514557
1503554340,281.470795,278.497498,272.550934
1503556140,281.499237,278.525665,272.578491
1503557940,281.531494,278.557556,272.609711
1503559740,281.556274,278.582092,272.633728
1503561540,281.574890,278.600525,272.651764
1503563340,281.586151,278.611664,272.662659
1503565140,281.605896,278.631195,272.681763
1503566940,281.636932,278.661926,272.711823
1503568740,281.669678,278.694305,272.743530
1503570540,281.715790,278.739929,272.788177
1503572340,281.815491,278.838562,272.884705
1503574140,281.883789,278.906158,272.950836
1503575940,282.026978,279.047821,273.089508
1503577740,282.208435,279.227356,273.265198
1503579540,282.335052,279.352661,273.387817
1503581340,282.409485,279.426270,273.459869
1503583140,282.595062,279.609894,273.639587
1503584940,282.841736,279.853973,273.878448
1503586740,283.022095,280.032410,274.053070
1503588540,283.195862,280.204346,274.221344
1503590340,283.367401,280.374115,274.387451
1503592140,283.542938,280.547760,274.557434
1503593940,283.725677,280.728577,274.734375
1503595740,283.892395,280.893524,274.895813
1503597540,284.044464,281.043976,275.043060
1503599340,284.220459,281.218140,275.213470
1503601140,284.390808,281.386688,275.378448
1503602940,284.552795,281.546967,275.535278
1503604740,284.670532,281.663452,275.649292
1503606540,284.777679,281.769470,275.753021
1503608340,284.847321,281.838379,275.820465
1503610140,284.904999,281.895447,275.876343
1503611940,284.979584,281.969238,275.948547
1503613740,285.058746,282.047577,276.025177
1503615540,285.169434,282.157104,276.132385
1503617340,285.277283,282.263794,276.236816
1503619140,285.395264,282.380554,276.351074
1503620940,285.574432,282.557831,276.524536
1503622740,285.822296,282.803070,276.764557
1503624540,286.101868,283.079681,277.035278
1503626340,286.274139,283.250122,277.202087
1503628140,286.442932,283.417114,277.365509
1503629940,286.669006,283.640808,277.584412
1503631740,286.902130,283.871490,277.810150
1503633540,287.058319,284.026001,277.961395
1503635340,287.186188,284.152557,278.085236
1503637140,287.436371,284.400085,278.327484
1503638940,287.761017,284.721283,278.641846
1503640740,288.101044,285.057739,278.971069
1503642540,288.401764,285.355286,279.262268
1503644340,288.699951,285.650299,279.550995
1503646140,289.050507,285.997162,279.890472
1503647940,289.377686,286.320892,280.207275
1503649740,289.671844,286.611938,280.492096
1503651540,289.974701,286.911591,280.785370
1503653340,290.339050,287.272095,281.138153
1503655140,290.675018,287.604523,281.463501
1503656940,290.957825,287.884338,281.737335
1503658740,291.228058,288.151703,281.998993
1503660540,291.523865,288.444397,282.285431
1503662340,291.806122,288.723663,282.558746
1503664140,292.128479,289.042603,282.870880
1503665940,292.392578,289.303925,283.126617
1503667740,292.650024,289.558655,283.375916
1503669540,292.920166,289.825958,283.637482
1503671340,293.163116,290.066345,283.872742
1503673140,293.352966,290.254181,284.056580
1503674940,293.529846,290.429199,284.227844
1503676740,293.743652,290.640717,284.434875
1503678540,293.970337,290.865021,284.654388
1503680340,294.231842,291.123779,284.907593
1503682140,294.479462,291.368774,285.147369
1503683940,294.698425,291.585419,285.359375
1503685740,294.894226,291.779144,285.548981
1503687540,294.997223,291.881073,285.648743
1503689340,295.058960,291.942139,285.708496
1503691140,295.011108,291.894806,285.662170
1503692940,294.903503,291.788330,285.557953
1503694740,294.820129,291.705841,285.477234
1503696540,294.720917,291.607666,285.381165
1503698340,294.689056,291.576172,285.350342
1503700140,294.632263,291.519958,285.295319
1503701940,294.548187,291.436768,285.213898
1503703740,294.370667,291.261139,285.042023
1503705540,294.188965,291.081360,284.866089
