candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.194888
began: 2023-Apr-20 10:11:27
it: 0, temperature: 94, curr value: -36.821, best value: 136.169
it: 137, temperature: 15.8589, curr value: 227.446, best value: 268.348
it: 138, temperature: 15.8397, curr value: 232.715, best value: 268.348
it: 139, temperature: 15.8205, curr value: 221.243, best value: 268.348
it: 140, temperature: 15.8016, curr value: 217.47, best value: 268.348
it: 141, temperature: 15.7829, curr value: 216.48, best value: 268.348
it: 142, temperature: 15.7643, curr value: 219.435, best value: 268.348
it: 143, temperature: 15.7459, curr value: 219.257, best value: 268.348
it: 144, temperature: 15.7277, curr value: 218.895, best value: 268.348
it: 145, temperature: 15.7096, curr value: 206.051, best value: 268.348
it: 146, temperature: 15.6917, curr value: 206.051, best value: 268.348
it: 147, temperature: 15.6739, curr value: 204.277, best value: 268.348
it: 148, temperature: 15.6564, curr value: 228.847, best value: 268.348
it: 149, temperature: 15.6389, curr value: 234.764, best value: 268.348
it: 150, temperature: 15.6217, curr value: 264.493, best value: 268.348
it: 151, temperature: 15.6046, curr value: 248.9, best value: 268.348
it: 152, temperature: 15.5876, curr value: 224.619, best value: 268.348
it: 153, temperature: 15.5708, curr value: 219.629, best value: 268.348
it: 154, temperature: 15.5541, curr value: 232.192, best value: 268.348
it: 155, temperature: 15.5376, curr value: 232.192, best value: 268.348
it: 156, temperature: 15.5212, curr value: 195.913, best value: 268.348
it: 157, temperature: 15.5049, curr value: 251.193, best value: 268.348
it: 158, temperature: 15.4888, curr value: 119.047, best value: 268.348
it: 159, temperature: 15.4728, curr value: 147.045, best value: 268.348
it: 160, temperature: 15.457, curr value: 147.045, best value: 268.348
it: 161, temperature: 15.4412, curr value: 144.528, best value: 268.348
it: 162, temperature: 15.4256, curr value: 140.811, best value: 268.348
it: 163, temperature: 15.4102, curr value: 121.102, best value: 268.348
it: 164, temperature: 15.3948, curr value: 136.23, best value: 268.348
it: 165, temperature: 15.3796, curr value: 226.712, best value: 268.348
it: 166, temperature: 15.3645, curr value: 224.2, best value: 268.348
it: 167, temperature: 15.3495, curr value: 226.712, best value: 268.348
it: 168, temperature: 15.3347, curr value: 224.2, best value: 268.348
it: 169, temperature: 15.3199, curr value: 226.09, best value: 268.348
it: 170, temperature: 15.3053, curr value: 226.507, best value: 268.348
it: 171, temperature: 15.2908, curr value: 221.801, best value: 268.348
it: 172, temperature: 15.2764, curr value: 224.201, best value: 268.348
it: 173, temperature: 15.2621, curr value: 232.19, best value: 268.348
it: 174, temperature: 15.2479, curr value: 229.939, best value: 268.348
it: 175, temperature: 15.2338, curr value: 224.201, best value: 268.348
it: 176, temperature: 15.2198, curr value: 232.395, best value: 268.348
it: 177, temperature: 15.206, curr value: 232.395, best value: 268.348
it: 178, temperature: 15.1922, curr value: 229.939, best value: 268.348
it: 179, temperature: 15.1785, curr value: 229.939, best value: 268.348
it: 180, temperature: 15.165, curr value: 223.176, best value: 268.348
it: 181, temperature: 15.1515, curr value: 223.176, best value: 268.348
it: 182, temperature: 15.1381, curr value: 223.176, best value: 268.348
it: 183, temperature: 15.1249, curr value: 232.241, best value: 268.348
