candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.430015
began: 2023-Apr-20 08:09:05
it: 125, temperature: 17.1342, curr value: 69.8247, best value: 107.489
it: 126, temperature: 17.111, curr value: 59.3834, best value: 107.489
it: 127, temperature: 17.0881, curr value: 62.0452, best value: 107.489
it: 128, temperature: 17.0654, curr value: 45.9108, best value: 107.489
it: 129, temperature: 17.0429, curr value: 39.6054, best value: 107.489
it: 130, temperature: 17.0207, curr value: 62.45, best value: 107.489
it: 131, temperature: 16.9987, curr value: 69.7299, best value: 107.489
it: 132, temperature: 16.9769, curr value: 68.5542, best value: 107.489
it: 133, temperature: 16.9554, curr value: 67.0863, best value: 107.489
it: 134, temperature: 16.934, curr value: 52.1464, best value: 107.489
it: 135, temperature: 16.9129, curr value: 49.5692, best value: 107.489
it: 136, temperature: 16.8919, curr value: 59.8886, best value: 107.489
it: 137, temperature: 16.8712, curr value: 52.9071, best value: 107.489
it: 138, temperature: 16.8507, curr value: 47.6818, best value: 107.489
it: 139, temperature: 16.8304, curr value: 80.0676, best value: 107.489
it: 140, temperature: 16.8102, curr value: 80.0676, best value: 107.489
it: 141, temperature: 16.7903, curr value: 106.344, best value: 107.489
it: 142, temperature: 16.7705, curr value: 106.344, best value: 107.489
it: 143, temperature: 16.7509, curr value: 76.2587, best value: 107.489
it: 144, temperature: 16.7315, curr value: 76.2587, best value: 107.489
it: 145, temperature: 16.7123, curr value: 73.502, best value: 107.489
it: 146, temperature: 16.6933, curr value: 73.502, best value: 107.489
it: 147, temperature: 16.6744, curr value: 62.5231, best value: 107.489
it: 148, temperature: 16.6557, curr value: 70.829, best value: 107.489
it: 149, temperature: 16.6372, curr value: 62.5231, best value: 107.489
it: 150, temperature: 16.6188, curr value: 104.502, best value: 107.489
it: 151, temperature: 16.6006, curr value: 68.2193, best value: 107.489
it: 152, temperature: 16.5825, curr value: 60.8276, best value: 107.489
it: 153, temperature: 16.5646, curr value: -41.757, best value: 107.489
it: 154, temperature: 16.5469, curr value: -42.0024, best value: 107.489
it: 155, temperature: 16.5293, curr value: -38.913, best value: 107.489
it: 156, temperature: 16.5119, curr value: -28.5455, best value: 107.489
it: 157, temperature: 16.4946, curr value: -57.0424, best value: 107.489
it: 158, temperature: 16.4774, curr value: -53.8443, best value: 107.489
it: 159, temperature: 16.4604, curr value: -57.7147, best value: 107.489
it: 160, temperature: 16.4436, curr value: -52.4759, best value: 107.489
it: 161, temperature: 16.4268, curr value: -48.8665, best value: 107.489
it: 162, temperature: 16.4103, curr value: 17.348, best value: 107.489
it: 163, temperature: 16.3938, curr value: 48.2187, best value: 107.489
it: 164, temperature: 16.3775, curr value: 64.733, best value: 107.489
it: 165, temperature: 16.3613, curr value: 64.733, best value: 107.489
it: 166, temperature: 16.3452, curr value: 69.743, best value: 107.489
it: 167, temperature: 16.3293, curr value: 70.7421, best value: 107.489
it: 168, temperature: 16.3135, curr value: 78.9069, best value: 107.489
it: 169, temperature: 16.2978, curr value: 71.1291, best value: 107.489
it: 170, temperature: 16.2822, curr value: 59.0849, best value: 107.489
it: 171, temperature: 16.2668, curr value: 49.9848, best value: 107.489
it: 172, temperature: 16.2515, curr value: 8.99369, best value: 107.489
it: 173, temperature: 16.2363, curr value: 39.859, best value: 107.489
it: 174, temperature: 16.2212, curr value: 16.084, best value: 107.489
it: 175, temperature: 16.2062, curr value: 17.5333, best value: 107.489
it: 176, temperature: 16.1913, curr value: 8.29179, best value: 107.489
it: 177, temperature: 16.1766, curr value: 67.1784, best value: 107.489
it: 178, temperature: 16.1619, curr value: 54.7818, best value: 107.489
it: 179, temperature: 16.1474, curr value: 55.4217, best value: 107.489
it: 180, temperature: 16.1329, curr value: 53.0064, best value: 107.489
it: 181, temperature: 16.1186, curr value: 71.1013, best value: 107.489
it: 182, temperature: 16.1044, curr value: 57.7887, best value: 107.489
it: 183, temperature: 16.0903, curr value: 49.7466, best value: 107.489
it: 184, temperature: 16.0763, curr value: 71.1352, best value: 107.489
it: 185, temperature: 16.0623, curr value: 55.4057, best value: 107.489
it: 186, temperature: 16.0485, curr value: 66.5015, best value: 107.489
it: 187, temperature: 16.0348, curr value: 61.0402, best value: 107.489
it: 188, temperature: 16.0212, curr value: 56.2857, best value: 107.489
it: 189, temperature: 16.0076, curr value: 27.6067, best value: 107.489
it: 190, temperature: 15.9942, curr value: 23.6775, best value: 107.489
it: 191, temperature: 15.9808, curr value: 47.505, best value: 107.489
it: 192, temperature: 15.9676, curr value: 86.0476, best value: 107.489
it: 193, temperature: 15.9544, curr value: 76.8625, best value: 107.489
it: 194, temperature: 15.9413, curr value: 28.9245, best value: 107.489
it: 195, temperature: 15.9283, curr value: 69.637, best value: 107.489
it: 196, temperature: 15.9154, curr value: 124.53, best value: 124.53
it: 197, temperature: 15.9026, curr value: 80.5905, best value: 124.53
it: 198, temperature: 15.8899, curr value: 78.8241, best value: 124.53
it: 199, temperature: 15.8773, curr value: 78.8241, best value: 124.53
