curr state net profit,temperature,mean threshold worse acceptance
17403.738281,40.487047,0.657793
1938.646973,40.455912,0.628768
5261.501465,40.424975,0.830412
2853.510742,40.394235,0.681714
2372.592285,40.363688,0.856826
4880.106445,40.333333,0.760051
15964.814453,40.303167,0.722006
5733.267578,40.273189,0.686033
15732.115234,40.243396,0.670868
15833.082031,40.213786,0.514476
26422.453125,40.184358,0.721489
26323.007812,40.155109,0.605574
27783.974609,40.126037,0.387554
31453.046875,40.097141,0.736477
68513.117188,40.068419,0.572461
84577.031250,40.039868,0.777020
84347.054688,40.011486,0.793830
98950.031250,39.983273,0.629276
109831.554688,39.955227,0.541774
132216.781250,39.927344,0.475712
129419.554688,39.899625,0.683733
131577.031250,39.872067,0.864548
130165.265625,39.844668,0.837802
120714.593750,39.817427,0.515922
130820.625000,39.790342,0.679770
126496.000000,39.763412,0.432059
129383.843750,39.736635,0.774044
134300.078125,39.710009,0.774480
124161.125000,39.683533,0.507695
130450.398438,39.657206,0.647842
136421.171875,39.631026,0.764371
129036.359375,39.604991,0.398370
132017.203125,39.579100,0.600300
127477.453125,39.553352,0.524700
127755.687500,39.527745,0.563272
132494.609375,39.502278,0.636753
132299.921875,39.476949,0.722293
128178.632812,39.451758,0.505616
133334.921875,39.426702,0.668267
132402.359375,39.401781,0.629608
116535.617188,39.376993,0.328299
124905.445312,39.352337,0.506497
117544.929688,39.327812,0.398925
127705.890625,39.303416,0.779390
131021.101562,39.279148,0.810096
136167.750000,39.255008,0.509460
134565.859375,39.230993,0.491470
136823.531250,39.207103,0.615437
134982.453125,39.183337,0.541504
130107.015625,39.159693,0.587581
132524.953125,39.136170,0.589763
136503.984375,39.112767,0.468179
132524.953125,39.089483,0.626828
132524.953125,39.066318,0.544084
127708.062500,39.043269,0.560117
130725.164062,39.020336,0.619311
141249.156250,38.997518,0.693123
140982.078125,38.974813,0.736743
139932.000000,38.952222,0.706326
126282.718750,38.929742,0.544617
129777.875000,38.907373,0.553605
129958.765625,38.885113,0.746388
132531.000000,38.862963,0.694349
121350.960938,38.840920,0.595825
125872.328125,38.818985,0.627358
117789.437500,38.797155,0.493939
112927.843750,38.775431,0.580851
119055.117188,38.753810,0.557034
127260.781250,38.732293,0.633220
119767.328125,38.710879,0.640466
121920.765625,38.689566,0.332127
129290.968750,38.668353,0.555915
133318.609375,38.647241,0.684289
133639.343750,38.626227,0.567548
121290.437500,38.605312,0.580875
123672.726562,38.584494,0.341544
131934.046875,38.563773,0.426366
130643.476562,38.543147,0.580978
131270.796875,38.522616,0.542986
133388.640625,38.502180,0.540507
134343.281250,38.481836,0.601608
131897.328125,38.461586,0.543331
136647.593750,38.441427,0.653206
134333.750000,38.421360,0.575722
139124.515625,38.401382,0.603516
133705.281250,38.381495,0.653211
133705.281250,38.361696,0.616141
132471.484375,38.341986,0.675310
133648.312500,38.322363,0.691188
137047.406250,38.302827,0.699929
137956.640625,38.283377,0.708706
134802.703125,38.264013,0.573386
134802.703125,38.244733,0.777230
137956.640625,38.225538,0.760581
140633.171875,38.206426,0.773753
138742.843750,38.187397,0.617066
137956.640625,38.168450,0.765067
136777.734375,38.149584,0.779372
137515.000000,38.130800,0.732407
137515.000000,38.112095,0.769501
143716.515625,38.093471,0.615912
141209.562500,38.074925,0.616298
139479.640625,38.056458,0.623115
139249.781250,38.038069,0.763764
136888.546875,38.019757,0.839752
137875.250000,38.001522,0.780956
139555.171875,37.983363,0.820069
136888.546875,37.965279,0.579809
140246.906250,37.947271,0.616807
138179.375000,37.929337,0.786716
