time,open,high,low,close
1649656800,42287.6,42340.1,42153.8,42250
1649660400,42250,42350.3,42161.4,42305.8
1649664000,42305.7,42350,42079.6,42200
1649667600,42200,42202.8,41392.8,41416.2
1649671200,41416.2,41646.6,41215,41596
1649674800,41596,41596,40968.1,41067.6
1649678400,41067.6,41246.6,40916,41145.5
1649682000,41145.4,41184,40684.8,41141.1
1649685600,41141.1,41220.9,40716.4,40803.9
1649689200,40803.9,40990,40560,40581.5
1649692800,40581.5,40832.6,40485.1,40764.8
1649696400,40764.8,40896.8,40250,40459.1
1649700000,40459.1,40520.4,40238,40510
1649703600,40510,40598.4,39770.3,39985.3
1649707200,39985.3,40269.6,39500,39838.3
1649710800,39838.3,39916.4,39275.7,39395.3
1649714400,39395.3,39978.6,39200,39766.4
1649718000,39766.4,39840.4,39372.3,39530.4
1649721600,39530.4,39852.9,39357.6,39544.3
1649725200,39544.3,39727.8,39408.2,39504.5
1649728800,39504.5,39550.5,39290,39490
1649732400,39490,39750,39478.7,39747.1
1649736000,39747.1,39950,39624.7,39921.2
1649739600,39921.2,40145,39870.7,40105.8
1649743200,40105.8,40186.4,39835,39935.2
1649746800,39935.2,40196.4,39866.3,40184
1649750400,40184,40344.6,40108.3,40182
1649754000,40182,40245.5,40016.1,40212.3
1649757600,40212.2,40273.2,40094.7,40150
1649761200,40150,40464,40105,40378
1649764800,40378,40699,40196.5,40618.4
1649768400,40618.4,40627.5,40155,40401
1649772000,40401,40436.3,39800,39990.4
1649775600,39990.4,40370,39959.2,40179.1
1649779200,40179.1,40376.8,39923,40097.2
1649782800,40097.2,40227,39940,40014.7
1649786400,40014.7,40056.5,39632,39667.8
1649790000,39667.8,39721.7,39261.4,39303.1
1649793600,39303.1,39597.9,39254.6,39520
1649797200,39520,39750.2,39473.9,39693.8
1649800800,39693.8,39927,39555.5,39828
1649804400,39828,40289,39819,40074.9
1649808000,40074.9,40189,39892.4,39936.2
1649811600,39936.2,39936.2,39588.5,39882.9
1649815200,39882.9,40189.3,39706.2,40059.1
1649818800,40059.2,40275,40013.8,40076.1
1649822400,40076.1,40142.6,39931.5,40134.5
1649826000,40134.5,40211.9,40063.5,40187.9
1649829600,40187.9,40228.4,39858.3,39958.4
1649833200,39958.4,40226.1,39910.1,40130
1649836800,40130,40200,40005,40162.3
1649840400,40162.3,40212.8,40029.9,40080
1649844000,40080,40142.1,39728.6,39808.1
1649847600,39808.1,39990,39656.1,39722.6
1649851200,39722.6,39935.3,39648.8,39700
1649854800,39700,40570,39622.9,40521.8
1649858400,40521.8,40957,40365,40642.1
1649862000,40642.1,41411,40640,41158.2
1649865600,41158.2,41347.7,40938.1,41005.6
1649869200,41005.6,41141.6,40829,41043.9
1649872800,41043.9,41374.2,40990.6,41363
1649876400,41363,41561.3,41024.5,41059.3
1649880000,41059.3,41319.9,41000,41241.2
1649883600,41241.2,41337,41080,41219.7
1649887200,41219.7,41404.6,41151.7,41279.1
1649890800,41279,41340,41075,41147.8
1649894400,41147.8,41272.2,41064.3,41186.2
1649898000,41186.2,41500,41177.9,41470
1649901600,41470,41473.2,41347.6,41420
1649905200,41420,41450,41271.1,41320
1649908800,41320,41413.1,41230.6,41290.8
1649912400,41290.8,41343.6,41243,41308.4
1649916000,41308.4,41332.7,41161.1,41195.4
1649919600,41195.4,41360,41156.9,41271.7
1649923200,41271.7,41324.9,41165,41172.7
1649926800,41172.7,41218.7,40973.5,41186.7
1649930400,41186.7,41225,40941.7,40946.5
1649934000,40946.5,41070.8,40851.5,40920
1649937600,40920,41186.9,40873.7,41150
1649941200,41150,41300,40516.5,40605.6
1649944800,40605.6,40659.8,40310.4,40435
1649948400,40435,40483.7,39925.2,39964
1649952000,39964,40069,39772.6,39951.1
1649955600,39951.1,40060.1,39842,39986.8
1649959200,39986.8,40028.9,39626.1,39659
1649962800,39659,39847.8,39551.9,39775.8
1649966400,39775.8,39910,39662.5,39910
1649970000,39910,40000,39861.3,39970
1649973600,39970,40017.3,39806.2,39843.7
1649977200,39843.7,39946.9,39828.9,39942.4
1649980800,39942.4,40180,39766.4,39860
1649984400,39860,39978.7,39833.9,39941
1649988000,39941,40075.3,39909.1,40017.2
1649991600,40017.2,40207.2,40000,40200.9
1649995200,40200.9,40266.5,40062.6,40103.3
1649998800,40103.2,40214.6,40081.4,40132.7
1650002400,40132.7,40164.2,39967.7,40040
1650006000,40040,40450,39953.2,40239.4
1650009600,40239.4,40396.6,40100,40154
1650013200,40154,40194.7,40036.1,40112.2
1650016800,40112.2,40399,40087.5,40268.2
1650020400,40268.2,40363,40100,40220
1650024000,40220,40258.3,40106.5,40150
1650027600,40150,40234.8,40010.2,40039.9
1650031200,40039.9,40870.4,39900,40450
1650034800,40450,40578.2,40354.5,40412.2
1650038400,40412.2,40449.2,40203.7,40383.1
1650042000,40383.1,40650,40356.7,40436
1650045600,40436,40472.2,40360.1,40388.1
1650049200,40388.1,40395.5,40276,40313.3
1650052800,40313.3,40403.3,40281.3,40396.7
1650056400,40396.7,40465,40362.4,40426
1650060000,40426,40504.7,40341.1,40467.5
1650063600,40467.5,40602,40420,40551.9
1650067200,40551.9,40573.7,40468.2,40560
1650070800,40560,40709.3,40525.7,40580
1650074400,40580,40595,40499.7,40522.3
1650078000,40522.3,40522.3,40410.8,40434.1
1650081600,40434.1,40563.5,40417.3,40539.5
1650085200,40539.5,40539.5,40373.9,40456.8
1650088800,40456.8,40456.8,40367.5,40419.5
1650092400,40419.5,40450,40353.5,40393.8
1650096000,40393.8,40447.7,40344.9,40370
