time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1609738200,33201.4,31873.4,30877.3,29881.3,28221.2,33207.4
1609740000,33180.8,31853.5,30858.1,29862.7,28203.6,33190.9
1609741800,33169,31842.2,30847.1,29852.1,28193.6,33180.7
1609743600,33069.7,31746.9,30754.8,29762.7,28109.2,33103.4
1609745400,32932.4,31615.1,30627.2,29639.2,27992.6,32994.5
1609747200,32821.7,31508.8,30524.2,29539.5,27898.4,32902.5
1609749000,32692.8,31385.1,30404.3,29423.5,27788.9,32794.4
1609750800,32559.3,31256.9,30280.1,29303.4,27675.4,32680.4
1609752600,32336.9,31043.4,30073.3,29103.2,27486.3,32496
1609754400,31956.9,30678.6,29719.9,28761.2,27163.3,32186.7
1609756200,31602.3,30338.2,29390.1,28442,26861.9,31888.5
1609758000,31371.8,30116.9,29175.8,28234.6,26666,31678.6
1609759800,31228.4,29979.2,29042.4,28105.5,26544.1,31532.8
1609761600,31172.1,29925.2,28990.1,28054.9,26496.3,31454
1609763400,31166.1,29919.4,28984.5,28049.5,26491.2,31416.2
1609765200,31148,29902.1,28967.7,28033.2,26475.8,31373
1609767000,31154.3,29908.1,28973.5,28038.9,26481.2,31351.3
1609768800,31220.4,29971.6,29035,28098.4,26537.3,31378.7
1609770600,31327.2,30074.1,29134.3,28194.4,26628.1,31441.7
1609772400,31430.4,30173.2,29230.3,28287.3,26715.8,31507.2
1609774200,31493.4,30233.7,29288.9,28344.1,26769.4,31546.3
1609776000,31475.1,30216.1,29271.9,28327.6,26753.8,31526.1
1609777800,31423.2,30166.3,29223.6,28280.9,26709.7,31480.4
1609779600,31386.5,30131,29189.4,28247.9,26678.5,31445.6
1609781400,31317.6,30064.9,29125.4,28185.9,26620,31386
1609783200,31303.8,30051.6,29112.5,28173.4,26608.2,31367.4
1609785000,31300.5,30048.5,29109.5,28170.4,26605.4,31357.4
1609786800,31298.4,30046.5,29107.5,28168.6,26603.6,31349.1
1609788600,31342,30088.3,29148.1,28207.8,26640.7,31376.5
1609790400,31375,30120,29178.7,28237.5,26668.7,31397.6
1609792200,31368.8,30114,29173,28231.9,26663.5,31390.2
1609794000,31347,30093.1,29152.7,28212.3,26645,31371.1
1609795800,31299.7,30047.7,29108.7,28169.7,26604.8,31332
1609797600,31276.6,30025.5,29087.2,28148.9,26585.1,31310.5
1609799400,31284.9,30033.5,29095,28156.4,26592.2,31312.9
1609801200,31320.6,30067.8,29128.2,28188.5,26622.5,31336.9
1609803000,31399.8,30143.8,29201.8,28259.8,26689.8,31395.5
1609804800,31523,30262.1,29316.4,28370.7,26794.6,31490.3
1609806600,31669,30402.3,29452.2,28502.1,26918.7,31605.8
1609808400,31789.9,30518.3,29564.6,28610.9,27021.4,31705.7
1609810200,31920.3,30643.5,29685.8,28728.2,27132.2,31815.3
1609812000,32029.8,30748.6,29787.8,28826.9,27225.4,31911.4
1609813800,32085.2,30801.8,29839.2,28876.7,27272.4,31967.7
1609815600,32092.3,30808.6,29845.8,28883,27278.4,31986.9
1609817400,32012.7,30732.1,29771.8,28811.4,27210.8,31938.4
1609819200,31872.2,30597.3,29641.2,28685,27091.4,31839.8
1609821000,31755.4,30485.2,29532.5,28579.8,26992.1,31754.2
1609822800,31634.5,30369.1,29420.1,28471.1,26889.3,31662
1609824600,31481,30221.8,29277.3,28332.9,26758.9,31541.3
1609826400,31310.3,30057.9,29118.6,28179.3,26613.7,31403.7
1609828200,31241,29991.3,29054.1,28116.9,26554.8,31339.7
1609830000,31220.7,29971.9,29035.3,28098.7,26537.6,31312.6
1609831800,31178.5,29931.4,28996.1,28060.7,26501.8,31269.5
1609833600,31165,29918.4,28983.4,28048.5,26490.2,31248.4
1609835400,31167.7,29921,28986,28050.9,26492.5,31240.7
1609837200,31191.9,29944.2,29008.5,28072.7,26513.1,31250.6
1609839000,31251.5,30001.5,29063.9,28126.4,26563.8,31289.3
1609840800,31299.6,30047.6,29108.6,28169.7,26604.7,31321.6
1609842600,31314.8,30062.2,29122.8,28183.4,26617.6,31330.7
1609844400,31327.1,30074.1,29134.2,28194.4,26628.1,31338.2
1609846200,31365,30110.4,29169.5,28228.5,26660.3,31365.9
1609848000,31434.8,30177.4,29234.3,28291.3,26719.5,31419.1
1609849800,31477.3,30218.2,29273.9,28329.6,26755.7,31453.5
1609851600,31510.7,30250.2,29304.9,28359.6,26784.1,31481.8
1609853400,31524.2,30263.3,29317.5,28371.8,26795.6,31495.6
1609855200,31506.5,30246.2,29301,28355.8,26780.5,31485.4
1609857000,31568.3,30305.6,29358.5,28411.5,26833,31535.1
1609858800,31668.7,30402,29451.9,28501.8,26918.4,31615.8
1609860600,31732.8,30463.5,29511.5,28559.6,26972.9,31671.1
1609862400,31813.6,30541.1,29586.7,28632.2,27041.6,31740.1
1609864200,31915.5,30638.9,29681.4,28723.9,27128.2,31826.7
1609866000,31993.7,30713.9,29754.1,28794.3,27194.6,31896.9
1609867800,32075.2,30792.2,29829.9,28867.7,27263.9,31970.6
1609869600,32203.5,30915.3,29949.2,28983.1,27372.9,32081
1609871400,32355.3,31061.1,30090.4,29119.8,27502,32211.5
1609873200,32541.3,31239.6,30263.4,29287.2,27660.1,32370.7
1609875000,32739,31429.4,30447.3,29465.1,27828.1,32541.9
1609876800,32880.6,31565.3,30578.9,29592.5,27948.5,32673.4
1609878600,33032.5,31711.2,30720.3,29729.3,28077.7,32814
1609880400,33161.8,31835.4,30840.5,29845.7,28187.6,32938.6
1609882200,33252.9,31922.8,30925.2,29927.6,28265,33034.5
1609884000,33361.7,32027.2,31026.4,30025.5,28357.4,33143.3
1609885800,33487.6,32148.1,31143.5,30138.9,28464.5,33265.3
1609887600,33564.4,32221.8,31214.9,30208,28529.8,33350.2
1609889400,33613.9,32269.3,31260.9,30252.5,28571.8,33413.2
1609891200,33633.7,32288.3,31279.3,30270.3,28588.6,33452
1609893000,33658.8,32312.4,31302.7,30292.9,28610,33492.6
1609894800,33685.5,32338,31327.5,30316.9,28632.6,33532.5
1609896600,33692.3,32344.6,31333.8,30323,28638.4,33555.7
1609898400,33725.4,32376.4,31364.6,30352.9,28666.6,33597.1
1609900200,33756.9,32406.7,31394,30381.2,28693.4,33636.3
1609902000,33768.1,32417.4,31404.4,30391.3,28702.9,33659.1
1609903800,33790.8,32439.1,31425.4,30411.7,28722.1,33689.2
1609905600,33957.6,32599.3,31580.6,30561.8,28864,33828.7
1609907400,34174.5,32807.5,31782.3,30757,29048.3,34009.7
1609909200,34341.3,32967.6,31937.4,30907.2,29190.1,34156.7
1609911000,34436.2,33058.8,32025.7,30992.6,29270.8,34251
1609912800,34529.5,33148.3,32112.4,31076.5,29350.1,34344.1
