best fitness,curr fitness,tabu list size
1168.917358,1168.917358,33
1168.917358,1153.185669,33
1168.917358,1134.130493,33
1168.917358,1134.130493,32
1168.917358,1134.130493,32
1168.917358,1134.130493,32
1168.917358,1153.185669,32
1168.917358,1149.686646,31
1168.917358,1149.686646,31
1168.917358,1153.185669,31
1168.917358,1153.185669,31
1168.917358,1153.185669,31
1168.917358,1106.409058,31
1168.917358,1121.548340,31
1168.917358,1121.548340,31
1168.917358,1168.917358,31
1168.917358,1153.185669,31
1168.917358,1134.130493,31
1168.917358,1134.130493,31
1168.917358,1134.130493,31
1168.917358,1149.686646,31
1168.917358,1134.130493,31
1168.917358,1149.686646,31
1168.917358,1103.021606,31
1168.917358,1103.021606,32
1168.917358,1149.686646,32
1168.917358,1149.686646,32
1168.917358,1149.686646,32
1168.917358,1168.917358,32
1168.917358,1168.917358,32
1168.917358,1168.917358,32
1168.917358,1149.686646,32
1168.917358,1134.130493,32
1168.917358,1149.686646,32
1168.917358,1103.021606,32
1168.917358,1149.686646,32
1168.917358,1149.686646,32
1168.917358,1153.185669,32
1168.917358,1168.917358,32
1168.917358,1149.686646,32
1168.917358,1149.686646,32
1168.917358,529.499207,33
1168.917358,529.499207,33
1168.917358,536.254272,33
1168.917358,536.254272,33
1168.917358,1017.256409,34
1168.917358,1017.256409,34
1168.917358,1017.256409,33
1168.917358,1017.256409,33
1168.917358,1004.086609,33
1168.917358,978.777527,33
1168.917358,1003.055481,33
1168.917358,1028.961182,33
1168.917358,1028.961182,33
1168.917358,1028.961182,33
1168.917358,1028.961182,33
1168.917358,1004.086609,33
1168.917358,1017.256409,33
1168.917358,1004.086609,32
1168.917358,1004.086609,32
1168.917358,1017.256409,32
1168.917358,1017.256409,32
1168.917358,1028.961182,32
1168.917358,1028.961182,31
1168.917358,1004.086609,32
1168.917358,1028.961182,32
1168.917358,1028.961182,32
1168.917358,1004.086609,32
1168.917358,1004.086609,32
1168.917358,1004.086609,32
1168.917358,1004.086609,32
1168.917358,1004.086609,32
1168.917358,1017.256409,32
1168.917358,1017.256409,32
1168.917358,1017.256409,32
1168.917358,1004.086609,33
1168.917358,1004.086609,33
1168.917358,1004.086609,33
1168.917358,1004.086609,33
1168.917358,1017.256409,33
1168.917358,1017.256409,33
1168.917358,1004.086609,33
1168.917358,1004.086609,33
1168.917358,1028.961182,33
1168.917358,1042.374268,33
1168.917358,1028.961182,33
1168.917358,1028.961182,32
1168.917358,1028.961182,32
1168.917358,1028.961182,32
1168.917358,1004.086609,32
1168.917358,1017.256409,32
1168.917358,1017.256409,32
1168.917358,1042.374268,32
1168.917358,948.036621,33
1168.917358,933.660889,33
1168.917358,933.660889,33
1168.917358,921.550903,33
1168.917358,921.550903,32
1168.917358,935.802307,32
1168.917358,935.802307,32
1168.917358,935.802307,32
1168.917358,935.802307,31
1168.917358,935.802307,31
1168.917358,935.802307,30
1168.917358,921.550903,30
1168.917358,921.550903,30
1168.917358,1004.086609,30
1168.917358,1004.086609,30
1168.917358,1004.086609,30
