time,exit
1503442740,310.041107
1503443640,310.082245
1503444540,310.102570
1503445440,310.213898
1503446340,310.379547
1503447240,310.564087
1503448140,310.734222
1503449040,310.864197
1503449940,311.003601
1503450840,311.112030
1503451740,311.229675
1503452640,311.393799
1503453540,311.526184
1503454440,311.568024
1503455340,311.471771
1503456240,311.383484
1503457140,311.304138
1503458040,311.325714
1503458940,311.447449
1503459840,311.546967
1503460740,311.644745
1503461640,311.760529
1503462540,311.975983
1503463440,312.256378
1503464340,312.554657
1503465240,312.767639
1503466140,312.982513
1503467040,313.302826
1503467940,313.564484
1503468840,313.793762
1503469740,313.958038
1503470640,314.165344
1503471540,314.482117
1503472440,314.827423
1503473340,315.130341
1503474240,315.420380
1503475140,315.679749
1503476040,315.920929
1503476940,316.161652
1503477840,316.437225
1503478740,316.741302
1503479640,317.019196
1503480540,317.298889
1503481440,317.567841
1503482340,317.828094
1503483240,318.113739
1503484140,318.348694
1503485040,318.588165
1503485940,318.824005
1503486840,318.998474
1503487740,319.176178
1503488640,319.331390
1503489540,319.496368
1503490440,319.663879
1503491340,319.794678
1503492240,319.823212
1503493140,319.777557
1503494040,319.770660
1503494940,319.734009
1503495840,319.703217
1503496740,319.613159
1503497640,319.410126
1503498540,319.223297
1503499440,319.114685
1503500340,319.097290
1503501240,319.061310
1503502140,319.031586
1503503040,319.011902
1503503940,319.069885
1503504840,319.068481
1503505740,318.961578
1503506640,318.883423
1503507540,318.853821
1503508440,318.805542
1503509340,318.761200
1503510240,318.705933
1503511140,318.674286
1503512040,318.656128
1503512940,318.632233
1503513840,318.587494
1503514740,318.505127
1503515640,318.444611
1503516540,318.397827
1503517440,318.287903
1503518340,318.223236
1503519240,318.159790
1503520140,318.050385
1503521040,317.941589
1503521940,317.799866
1503522840,317.674347
1503523740,317.566132
1503524640,317.466064
1503525540,317.389801
1503526440,317.390717
1503527340,317.396240
1503528240,317.376709
1503529140,317.406982
1503530040,317.425720
1503530940,317.454010
1503531840,317.482361
1503532740,317.512573
1503533640,317.505188
1503534540,317.475067
1503535440,317.461578
1503536340,317.477509
1503537240,317.445129
1503538140,317.378754
1503539040,317.333435
1503539940,317.298828
1503540840,317.248291
1503541740,317.188629
1503542640,317.109406
1503543540,317.056458
1503544440,316.999481
1503545340,316.912689
1503546240,316.863739
1503547140,316.771912
1503548040,316.679596
1503548940,316.628296
1503549840,316.573425
1503550740,316.510071
1503551640,316.476257
1503552540,316.444275
1503553440,316.460602
1503554340,316.515320
1503555240,316.567169
1503556140,316.672699
1503557040,316.736847
1503557940,316.836700
1503558840,316.908417
1503559740,316.984222
1503560640,317.064880
1503561540,317.168365
1503562440,317.265717
1503563340,317.325012
1503564240,317.408020
1503565140,317.478149
1503566040,317.582184
1503566940,317.678741
1503567840,317.770844
1503568740,317.862823
1503569640,317.916382
1503570540,317.933685
1503571440,318.025452
1503572340,318.072571
1503573240,318.094086
1503574140,318.145721
1503575040,318.235992
1503575940,318.374146
1503576840,318.594940
1503577740,318.693298
1503578640,318.779724
1503579540,318.942963
1503580440,319.009460
1503581340,319.120453
1503582240,319.207031
1503583140,319.344421
1503584040,319.523499
1503584940,319.689423
1503585840,319.856781
1503586740,319.976501
1503587640,320.069153
1503588540,320.137421
1503589440,320.240387
1503590340,320.321198
1503591240,320.433411
1503592140,320.497375
1503593040,320.546509
1503593940,320.588745
1503594840,320.644684
1503595740,320.689880
1503596640,320.708282
1503597540,320.743225
1503598440,320.798950
1503599340,320.855469
1503600240,320.907043
1503601140,320.952057
1503602040,321.041382
1503602940,321.129425
1503603840,321.241058
1503604740,321.367889
1503605640,321.434662
1503606540,321.543213
1503607440,321.654816
1503608340,321.733215
1503609240,321.787781
1503610140,321.771729
1503611040,321.691437
1503611940,321.712250
1503612840,321.762177
1503613740,321.789948
1503614640,321.888428
1503615540,321.989471
1503616440,322.106201
1503617340,322.134674
1503618240,322.128357
1503619140,322.154816
1503620040,322.192688
1503620940,322.260986
1503621840,322.357910
1503622740,322.472687
1503623640,322.586853
1503624540,322.722687
1503625440,322.801514
1503626340,322.940857
1503627240,323.091125
1503628140,323.220398
1503629040,323.366333
1503629940,323.544159
1503630840,323.741913
1503631740,323.916199
1503632640,324.046967
1503633540,324.168823
1503634440,324.315338
1503635340,324.505188
1503636240,324.664490
1503637140,324.832245
1503638040,325.033875
1503638940,325.300598
1503639840,325.607239
1503640740,325.898438
1503641640,326.181122
1503642540,326.447052
1503643440,326.724091
1503644340,326.966125
1503645240,327.230194
1503646140,327.551636
1503647040,327.857239
1503647940,328.093475
