candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 4.169991
began: 2023-Apr-19 21:09:18
it: 0, temperature: 54, curr value: -71.6554, best value: -52.02
it: 88, temperature: 9.83851, curr value: 350.936, best value: 350.936
it: 89, temperature: 9.81852, curr value: 350.936, best value: 350.936
it: 90, temperature: 9.79883, curr value: 323.448, best value: 350.936
it: 91, temperature: 9.77944, curr value: 350.936, best value: 350.936
it: 92, temperature: 9.76033, curr value: 350.936, best value: 350.936
it: 93, temperature: 9.7415, curr value: 350.936, best value: 350.936
it: 94, temperature: 9.72294, curr value: 350.936, best value: 350.936
it: 95, temperature: 9.70464, curr value: 350.936, best value: 350.936
it: 96, temperature: 9.6866, curr value: 350.936, best value: 350.936
it: 97, temperature: 9.66881, curr value: 268.897, best value: 350.936
it: 98, temperature: 9.65127, curr value: 345.129, best value: 350.936
it: 99, temperature: 9.63396, curr value: 345.129, best value: 350.936
it: 100, temperature: 9.61689, curr value: 345.129, best value: 350.936
it: 101, temperature: 9.60005, curr value: 345.129, best value: 350.936
it: 102, temperature: 9.58342, curr value: 345.129, best value: 350.936
it: 103, temperature: 9.56702, curr value: 345.129, best value: 350.936
it: 104, temperature: 9.55083, curr value: 345.129, best value: 350.936
it: 105, temperature: 9.53484, curr value: 350.936, best value: 350.936
it: 106, temperature: 9.51906, curr value: 350.936, best value: 350.936
it: 107, temperature: 9.50348, curr value: 350.936, best value: 350.936
it: 108, temperature: 9.48809, curr value: 350.936, best value: 350.936
it: 109, temperature: 9.47289, curr value: 350.936, best value: 350.936
it: 110, temperature: 9.45787, curr value: 350.936, best value: 350.936
it: 111, temperature: 9.44304, curr value: 350.936, best value: 350.936
it: 112, temperature: 9.42838, curr value: 350.936, best value: 350.936
it: 113, temperature: 9.4139, curr value: 350.936, best value: 350.936
it: 114, temperature: 9.39959, curr value: 350.936, best value: 350.936
it: 115, temperature: 9.38544, curr value: 350.936, best value: 350.936
it: 116, temperature: 9.37146, curr value: 350.936, best value: 350.936
it: 117, temperature: 9.35764, curr value: 350.936, best value: 350.936
it: 118, temperature: 9.34398, curr value: 350.936, best value: 350.936
it: 119, temperature: 9.33047, curr value: 345.129, best value: 350.936
it: 120, temperature: 9.31711, curr value: 345.129, best value: 350.936
it: 121, temperature: 9.30389, curr value: 331.552, best value: 350.936
it: 122, temperature: 9.29083, curr value: 331.552, best value: 350.936
it: 123, temperature: 9.2779, curr value: 336.648, best value: 350.936
it: 124, temperature: 9.26512, curr value: 336.827, best value: 350.936
it: 125, temperature: 9.25247, curr value: 329.306, best value: 350.936
it: 126, temperature: 9.23995, curr value: 332.888, best value: 350.936
it: 127, temperature: 9.22757, curr value: 305.418, best value: 350.936
it: 128, temperature: 9.21531, curr value: 305.418, best value: 350.936
it: 129, temperature: 9.20318, curr value: 332.888, best value: 350.936
it: 130, temperature: 9.19118, curr value: 332.888, best value: 350.936
it: 131, temperature: 9.1793, curr value: 332.888, best value: 350.936
it: 132, temperature: 9.16754, curr value: 328.733, best value: 350.936
it: 133, temperature: 9.15589, curr value: 332.888, best value: 350.936
it: 134, temperature: 9.14437, curr value: 332.888, best value: 350.936
it: 135, temperature: 9.13295, curr value: 336.827, best value: 350.936
it: 136, temperature: 9.12165, curr value: 336.648, best value: 350.936
it: 137, temperature: 9.11046, curr value: 336.648, best value: 350.936
it: 138, temperature: 9.09937, curr value: 332.888, best value: 350.936
it: 139, temperature: 9.0884, curr value: 332.888, best value: 350.936
it: 140, temperature: 9.07752, curr value: 336.827, best value: 350.936
it: 141, temperature: 9.06675, curr value: 284.267, best value: 350.936
it: 142, temperature: 9.05608, curr value: 311.916, best value: 350.936
it: 143, temperature: 9.04551, curr value: 323.448, best value: 350.936
it: 144, temperature: 9.03504, curr value: 323.448, best value: 350.936
it: 145, temperature: 9.02466, curr value: 323.448, best value: 350.936
it: 146, temperature: 9.01437, curr value: 311.916, best value: 350.936
it: 147, temperature: 9.00418, curr value: 350.936, best value: 350.936
it: 148, temperature: 8.99408, curr value: 350.936, best value: 350.936
it: 149, temperature: 8.98408, curr value: 350.936, best value: 350.936
it: 150, temperature: 8.97415, curr value: 350.936, best value: 350.936
it: 151, temperature: 8.96432, curr value: 332.888, best value: 350.936
it: 152, temperature: 8.95457, curr value: 332.888, best value: 350.936
it: 153, temperature: 8.94491, curr value: 332.888, best value: 350.936
it: 154, temperature: 8.93533, curr value: 332.888, best value: 350.936
it: 155, temperature: 8.92583, curr value: 332.888, best value: 350.936
it: 156, temperature: 8.91641, curr value: 332.888, best value: 350.936
it: 157, temperature: 8.90708, curr value: 336.827, best value: 350.936
it: 158, temperature: 8.89782, curr value: 336.827, best value: 350.936
it: 159, temperature: 8.88863, curr value: 329.306, best value: 350.936
it: 160, temperature: 8.87953, curr value: 336.827, best value: 350.936
it: 161, temperature: 8.8705, curr value: 336.827, best value: 350.936
it: 162, temperature: 8.86154, curr value: 336.827, best value: 350.936
it: 163, temperature: 8.85265, curr value: 336.827, best value: 350.936
it: 164, temperature: 8.84384, curr value: 329.306, best value: 350.936
it: 165, temperature: 8.8351, curr value: 336.648, best value: 350.936
it: 166, temperature: 8.82642, curr value: 336.648, best value: 350.936
it: 167, temperature: 8.81782, curr value: 332.888, best value: 350.936
it: 168, temperature: 8.80928, curr value: 336.827, best value: 350.936
it: 169, temperature: 8.80081, curr value: 336.648, best value: 350.936
it: 170, temperature: 8.79241, curr value: 350.936, best value: 350.936
it: 171, temperature: 8.78407, curr value: 350.936, best value: 350.936
it: 172, temperature: 8.77579, curr value: 350.936, best value: 350.936
it: 173, temperature: 8.76758, curr value: 350.936, best value: 350.936
it: 174, temperature: 8.75943, curr value: 350.936, best value: 350.936
it: 175, temperature: 8.75134, curr value: 350.936, best value: 350.936
it: 176, temperature: 8.74331, curr value: 350.936, best value: 350.936
it: 177, temperature: 8.73534, curr value: 350.936, best value: 350.936
it: 178, temperature: 8.72743, curr value: 350.936, best value: 350.936
it: 179, temperature: 8.71958, curr value: 311.916, best value: 350.936
it: 180, temperature: 8.71179, curr value: 350.936, best value: 350.936
it: 181, temperature: 8.70405, curr value: 350.936, best value: 350.936
it: 182, temperature: 8.69637, curr value: 350.936, best value: 350.936
it: 183, temperature: 8.68875, curr value: 350.936, best value: 350.936
it: 184, temperature: 8.68118, curr value: 350.936, best value: 350.936
it: 185, temperature: 8.67366, curr value: 350.936, best value: 350.936
it: 186, temperature: 8.66619, curr value: 350.936, best value: 350.936
it: 187, temperature: 8.65878, curr value: 350.936, best value: 350.936
it: 188, temperature: 8.65142, curr value: 350.936, best value: 350.936
it: 189, temperature: 8.64412, curr value: 350.936, best value: 350.936
it: 190, temperature: 8.63686, curr value: 350.936, best value: 350.936
