time,exit
1503378840,316.922180
1503379740,316.077515
1503380640,315.210938
1503381540,314.091400
1503382440,313.235229
1503383340,312.779083
1503384240,312.321136
1503385140,311.812653
1503386040,311.210327
1503386940,310.505768
1503387840,309.852509
1503388740,309.309143
1503389640,308.758423
1503390540,308.237396
1503391440,307.724579
1503392340,307.276642
1503393240,306.933655
1503394140,306.596741
1503395040,306.267883
1503395940,305.935272
1503396840,305.593140
1503397740,305.337158
1503398640,305.165222
1503399540,304.994232
1503400440,304.781128
1503401340,304.535339
1503402240,304.295441
1503403140,304.073517
1503404040,303.729187
1503404940,303.323700
1503405840,303.050476
1503406740,302.817017
1503407640,302.658203
1503408540,302.614227
1503409440,302.633545
1503410340,302.607666
1503411240,302.491028
1503412140,302.361694
1503413040,302.185272
1503413940,302.041260
1503414840,301.943420
1503415740,302.174255
1503416640,303.953217
1503417540,304.027893
1503418440,304.151245
1503419340,304.460114
1503420240,304.968628
1503421140,305.466187
1503422040,306.023590
1503422940,306.831635
1503423840,307.320282
1503424740,307.556183
1503425640,307.645264
1503426540,307.794617
1503427440,308.018097
1503428340,308.310883
1503429240,308.574036
1503430140,308.774445
1503431040,309.046509
1503431940,309.260803
1503432840,309.434570
1503433740,309.634613
1503434640,309.760864
1503435540,309.821625
1503436440,309.837677
1503437340,309.864288
1503438240,309.869995
1503439140,309.852020
1503440040,309.809570
1503440940,309.811188
1503441840,309.853973
1503442740,309.874451
1503443640,309.853363
1503444540,309.834991
1503445440,309.880615
1503446340,309.976318
1503447240,310.018646
1503448140,310.049072
1503449040,310.123199
1503449940,310.203796
1503450840,310.283966
1503451740,310.377441
1503452640,310.518463
1503453540,310.694946
1503454440,310.914520
1503455340,311.105927
1503456240,311.260010
1503457140,311.411133
1503458040,311.570709
1503458940,311.772980
1503459840,311.988953
1503460740,312.187653
1503461640,312.281799
1503462540,312.332275
1503463440,312.459351
1503464340,312.574463
1503465240,312.717926
1503466140,312.839569
1503467040,312.962402
1503467940,313.048737
1503468840,313.151306
1503469740,313.256073
1503470640,313.381958
1503471540,313.607269
1503472440,313.783600
1503473340,313.993866
1503474240,314.297333
1503475140,314.572937
1503476040,314.820099
1503476940,315.038910
1503477840,315.248810
1503478740,315.486206
1503479640,315.796478
1503480540,316.101471
1503481440,316.360229
1503482340,316.594849
1503483240,316.843262
1503484140,317.066589
1503485040,317.310608
1503485940,317.582123
1503486840,317.775330
1503487740,317.961731
1503488640,318.157074
1503489540,318.344238
1503490440,318.529297
1503491340,318.673309
1503492240,318.766907
1503493140,318.834290
1503494040,318.908966
1503494940,318.968048
1503495840,319.002167
1503496740,319.057770
1503497640,319.090057
1503498540,319.116364
1503499440,319.152283
1503500340,319.159027
1503501240,319.169891
1503502140,319.150909
1503503040,319.141571
1503503940,319.116241
1503504840,319.009338
1503505740,318.899933
1503506640,318.835754
1503507540,318.844086
1503508440,318.843048
1503509340,318.865875
1503510240,318.877991
1503511140,318.934937
1503512040,318.958588
1503512940,318.914551
1503513840,318.902618
1503514740,318.889343
1503515640,318.858490
1503516540,318.840210
1503517440,318.798584
1503518340,318.769623
1503519240,318.733582
1503520140,318.663544
1503521040,318.537292
1503521940,318.375610
1503522840,318.245056
1503523740,318.127838
1503524640,317.994232
1503525540,317.881195
1503526440,317.777710
1503527340,317.654846
1503528240,317.569244
1503529140,317.506531
1503530040,317.427948
1503530940,317.370605
1503531840,317.287933
1503532740,317.231140
1503533640,317.237396
1503534540,317.256958
1503535440,317.262390
1503536340,317.286835
1503537240,317.276184
1503538140,317.270447
1503539040,317.293793
1503539940,317.310150
1503540840,317.293976
1503541740,317.267334
1503542640,317.230591
1503543540,317.234253
1503544440,317.215546
1503545340,317.152924
1503546240,317.137268
1503547140,317.105713
1503548040,317.082062
1503548940,317.050873
1503549840,317.014557
1503550740,316.980591
1503551640,316.956696
1503552540,316.927460
1503553440,316.919891
1503554340,316.914795
1503555240,316.868317
1503556140,316.861847
1503557040,316.834290
1503557940,316.838196
1503558840,316.854675
1503559740,316.857666
1503560640,316.873199
1503561540,316.926208
1503562440,317.010925
1503563340,317.114227
1503564240,317.207947
1503565140,317.297943
1503566040,317.383850
1503566940,317.469849
1503567840,317.551422
1503568740,317.642395
1503569640,317.708221
1503570540,317.721954
1503571440,317.771637
1503572340,317.781403
1503573240,317.799133
1503574140,317.833221
1503575040,317.897675
1503575940,318.010071
1503576840,318.166840
1503577740,318.238586
1503578640,318.318054
1503579540,318.445099
1503580440,318.521851
1503581340,318.610535
1503582240,318.700165
1503583140,318.831726
1503584040,319.008820
1503584940,319.155640
1503585840,319.317078
1503586740,319.458435
1503587640,319.567841
1503588540,319.695007
1503589440,319.809845
1503590340,319.912506
1503591240,320.022980
1503592140,320.132080
1503593040,320.217072
1503593940,320.281372
1503594840,320.329620
1503595740,320.374725
1503596640,320.431854
1503597540,320.476837
1503598440,320.563599
1503599340,320.617767
1503600240,320.687073
1503601140,320.747620
1503602040,320.836365
1503602940,320.914581
1503603840,320.992188
1503604740,321.061737
1503605640,321.097992
1503606540,321.139526
1503607440,321.163483
1503608340,321.182556
1503609240,321.215973
1503610140,321.239136
1503611040,321.285400
1503611940,321.360016
1503612840,321.404907
1503613740,321.515991
1503614640,321.656311
1503615540,321.785828
1503616440,321.897278
1503617340,321.938263
1503618240,321.927704
1503619140,322.015167
1503620040,322.136475
1503620940,322.199402
1503621840,322.333923
1503622740,322.464233
1503623640,322.601837
1503624540,322.703278
1503625440,322.730927
1503626340,322.818054
1503627240,322.888916
1503628140,322.961090
1503629040,323.053375
1503629940,323.188965
1503630840,323.324402
1503631740,323.446625
1503632640,323.548706
1503633540,323.650696
1503634440,323.800446
1503635340,323.982941
1503636240,324.157074
1503637140,324.336517
1503638040,324.565491
1503638940,324.826538
1503639840,325.070068
1503640740,325.305450
1503641640,325.520325
1503642540,325.721893
1503643440,325.910370
1503644340,326.060760
1503645240,326.232941
1503646140,326.468323
1503647040,326.710480
1503647940,326.927063
1503648840,327.135925
1503649740,327.362671
1503650640,327.579895
1503651540,327.832275
1503652440,328.103912
1503653340,328.380920
1503654240,328.668274
1503655140,328.869232
1503656040,329.022827
1503656940,329.163330
1503657840,329.297760
1503658740,329.441254
1503659640,329.586945
1503660540,329.691681
1503661440,329.804474
1503662340,329.908630
1503663240,330.035980
1503664140,330.154663
1503665040,330.288696
1503665940,330.400604
1503666840,330.541321
1503667740,330.628906
1503668640,330.739197
1503669540,330.869720
1503670440,330.997284
1503671340,331.083801
1503672240,331.161743
1503673140,331.253754
1503674040,331.371948
1503674940,331.511810
1503675840,331.626312
1503676740,331.713104
1503677640,331.819519
1503678540,331.924286
1503679440,332.024078
1503680340,332.075928
1503681240,332.115936
1503682140,332.137054
1503683040,332.176422
1503683940,332.218658
1503684840,332.268799
1503685740,332.348633
1503686640,332.402069
1503687540,332.398499
1503688440,332.411041
1503689340,332.450439
1503690240,332.446747
1503691140,332.358307
1503692040,332.290222
1503692940,332.181732
1503693840,332.034027
1503694740,331.927277
1503695640,331.799622
1503696540,331.749664
1503697440,331.743591
1503698340,331.737671
1503699240,331.732880
1503700140,331.723419
1503701040,331.701904
1503701940,331.699188
1503702840,331.670776
1503703740,331.622620
1503704640,331.525970
1503705540,331.447449
1503706440,331.359070
1503707340,331.292053
1503708240,331.246307
1503709140,331.211914
1503710040,331.169342
1503710940,331.074829
1503711840,330.942566
1503712740,330.808746
1503713640,330.667786
1503714540,330.514404
1503715440,330.368591
1503716340,330.199036
1503717240,330.035095
1503718140,329.864838
1503719040,329.686676
1503719940,329.486694
1503720840,329.241425
1503721740,329.006531
1503722640,328.796295
1503723540,328.605011
1503724440,328.402618
1503725340,328.240540
1503726240,328.051086
1503727140,327.890594
1503728040,327.711731
1503728940,327.557007
1503729840,327.390259
1503730740,327.221191
1503731640,327.117340
1503732540,327.095551
1503733440,327.077667
1503734340,327.079010
1503735240,327.120880
1503736140,327.127930
1503737040,327.137665
1503737940,327.121033
1503738840,327.105927
1503739740,327.063599
1503740640,327.033478
1503741540,327.028259
1503742440,327.005859
1503743340,327.007812
1503744240,327.023041
1503745140,327.049133
1503746040,327.077515
1503746940,327.091949
1503747840,327.079681
1503748740,327.048309
1503749640,327.022125
1503750540,326.993530
1503751440,326.921631
1503752340,326.949677
1503753240,326.954742
1503754140,326.962769
1503755040,326.994415
