time,entry level 1,entry level 2,entry level 3
1504418340,300.790253,295.418976,290.047729
1504421940,304.159729,298.728302,293.296875
1504425540,306.867126,301.387360,295.907593
1504429140,308.896393,303.380402,297.864380
1504432740,309.183929,303.662781,298.141632
1504436340,308.666473,303.154572,297.642670
1504439940,307.924652,302.425995,296.927338
1504443540,306.956329,301.474976,295.993591
1504447140,305.114441,299.665985,294.217499
1504450740,301.799164,296.409912,291.020630
1504454340,298.711151,293.377014,288.042908
1504457940,296.230286,290.940460,285.650635
1504461540,294.394958,289.137909,283.880859
1504465140,293.782227,288.536102,283.290009
1504468740,293.796082,288.549713,283.303345
1504472340,294.303345,289.047913,283.792511
1504475940,294.579926,289.319580,284.059204
1504479540,295.425507,290.150055,284.874603
1504483140,297.068573,291.763763,286.458984
1504486740,298.004822,292.683319,287.361786
1504490340,298.364777,293.036835,287.708893
1504493940,298.079926,292.757080,287.434204
1504497540,297.031128,291.727020,286.422882
1504501140,295.871521,290.588104,285.304688
1504504740,294.825653,289.560913,284.296173
1504508340,293.955750,288.706543,283.457336
1504511940,290.146362,284.965179,279.783966
1504515540,285.268219,280.174133,275.080078
1504519140,281.660309,276.630646,271.601013
1504522740,279.037262,274.054443,269.071625
1504526340,275.152008,270.238586,265.325165
1504529940,270.392975,265.564545,260.736084
1504533540,265.997803,261.247864,256.497894
1504537140,261.306580,256.640411,251.974213
1504540740,255.602814,251.038483,246.474136
1504544340,252.501663,247.992706,243.483749
1504547940,250.699417,246.222641,241.745865
1504551540,248.722885,244.281403,239.839920
1504555140,247.384857,242.967270,238.549698
1504558740,247.584656,243.163498,238.742340
1504562340,249.661087,245.202850,240.744614
1504565940,251.303650,246.816086,242.328522
1504569540,251.825974,247.329086,242.832199
1504573140,252.688095,248.175812,243.663513
1504576740,251.407669,246.918243,242.428833
1504580340,249.960037,245.496460,241.032883
1504583940,249.261002,244.809921,240.358826
1504587540,247.362503,242.945312,238.528122
1504591140,245.177673,240.799500,236.421326
1504594740,242.516464,238.185806,233.855164
1504598340,241.024826,236.720810,232.416794
1504601940,241.222672,236.915131,232.607574
1504605540,241.751083,237.434097,233.117111
1504609140,245.006805,240.631683,236.256561
1504612740,248.455765,244.019058,239.582352
1504616340,250.927887,246.447037,241.966171
1504619940,253.322952,248.799332,244.275711
1504623540,255.616180,251.051605,246.487030
1504627140,257.453918,252.856537,248.259140
1504630740,258.054993,253.446884,248.838745
1504634340,259.016785,254.391464,249.766174
1504637940,260.998901,256.338196,251.677505
1504641540,263.271942,258.570648,253.869370
1504645140,265.502228,260.761108,256.019989
1504648740,266.981201,262.213684,257.446167
1504652340,268.327484,263.535919,258.744385
1504655940,269.865784,265.046753,260.227722
1504659540,272.040894,267.183014,262.325165
1504663140,275.243408,270.328339,265.413269
1504666740,277.664001,272.705719,267.747406
1504670340,279.231934,274.245667,269.259369
1504673940,279.873596,274.875854,269.878113
1504677540,280.136353,275.133911,270.131470
1504681140,280.604980,275.594177,270.583374
1504684740,281.089630,276.070160,271.050720
1504688340,281.939575,276.904938,271.870300
1504691940,282.794891,277.744995,272.695068
1504695540,282.726105,277.677429,272.628754
1504699140,283.083649,278.028595,272.973511
1504702740,283.675476,278.609863,273.544220
1504706340,284.133636,279.059845,273.986023
1504709940,284.896851,279.809387,274.721954
1504713540,286.007599,280.900330,275.793060
1504742340,287.626343,282.490173,277.353973
1504745940,288.583496,283.430237,278.276947
1504749540,288.522003,283.369843,278.217651
1504753140,288.322968,283.174316,278.025696
1504756740,287.915100,282.773773,277.632416
1504760340,287.604248,282.468445,277.332672
1504763940,287.723328,282.585419,277.447510
1504767540,287.783844,282.644867,277.505859
1504771140,287.166748,282.038757,276.910767
1504774740,286.027039,280.919434,275.811798
1504778340,285.384399,280.288269,275.192108
1504781940,285.515167,280.416687,275.318207
1504785540,286.031189,280.923492,275.815796
1504789140,286.543060,281.426208,276.309387
1504792740,287.282928,282.152863,277.022827
1504796340,288.065308,282.921295,277.777283
1504799940,288.860596,283.702362,278.544159
1504803540,290.062988,284.883301,279.703613
1504807140,290.943329,285.747925,280.552490
1504810740,291.529358,286.323456,281.117584
1504814340,292.040985,286.825958,281.610931
1504817940,292.406281,287.184753,281.963196
1504821540,292.481140,287.258270,282.035400
1504825140,292.542389,287.318420,282.094452
