candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.268418
began: 2023-May-02 11:51:39
it: 129, temperature: 16.0204, curr value: 749.084, best value: 754.849
it: 130, temperature: 15.9995, curr value: 749.084, best value: 754.849
it: 131, temperature: 15.9788, curr value: 749.084, best value: 754.849
it: 132, temperature: 15.9583, curr value: 741.19, best value: 754.849
it: 133, temperature: 15.938, curr value: 751.445, best value: 754.849
it: 134, temperature: 15.918, curr value: 751.445, best value: 754.849
it: 135, temperature: 15.8981, curr value: 746.227, best value: 754.849
it: 136, temperature: 15.8784, curr value: 746.227, best value: 754.849
it: 137, temperature: 15.8589, curr value: 741.19, best value: 754.849
it: 138, temperature: 15.8397, curr value: 741.19, best value: 754.849
it: 139, temperature: 15.8205, curr value: 741.19, best value: 754.849
it: 140, temperature: 15.8016, curr value: 741.19, best value: 754.849
it: 141, temperature: 15.7829, curr value: 749.084, best value: 754.849
it: 142, temperature: 15.7643, curr value: 754.849, best value: 754.849
it: 143, temperature: 15.7459, curr value: 754.849, best value: 754.849
