candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.619039
began: 2023-Apr-19 21:14:50
it: 132, temperature: 12.2234, curr value: 746.227, best value: 754.849
it: 133, temperature: 12.2079, curr value: 741.19, best value: 754.849
it: 134, temperature: 12.1925, curr value: 746.227, best value: 754.849
it: 135, temperature: 12.1773, curr value: 746.227, best value: 754.849
it: 136, temperature: 12.1622, curr value: 751.445, best value: 754.849
it: 137, temperature: 12.1473, curr value: 751.445, best value: 754.849
it: 138, temperature: 12.1325, curr value: 751.445, best value: 754.849
it: 139, temperature: 12.1179, curr value: 751.445, best value: 754.849
it: 140, temperature: 12.1034, curr value: 751.445, best value: 754.849
it: 141, temperature: 12.089, curr value: 751.445, best value: 754.849
it: 142, temperature: 12.0748, curr value: 751.215, best value: 754.849
it: 143, temperature: 12.0607, curr value: 741.19, best value: 754.849
it: 144, temperature: 12.0467, curr value: 749.084, best value: 754.849
it: 145, temperature: 12.0329, curr value: 749.789, best value: 754.849
it: 146, temperature: 12.0192, curr value: 751.215, best value: 754.849
it: 147, temperature: 12.0056, curr value: 746.227, best value: 754.849
it: 148, temperature: 11.9921, curr value: 751.215, best value: 754.849
it: 149, temperature: 11.9788, curr value: 751.445, best value: 754.849
it: 150, temperature: 11.9655, curr value: 746.227, best value: 754.849
it: 151, temperature: 11.9524, curr value: 751.445, best value: 754.849
it: 152, temperature: 11.9394, curr value: 749.789, best value: 754.849
it: 153, temperature: 11.9265, curr value: 749.789, best value: 754.849
it: 154, temperature: 11.9138, curr value: 746.227, best value: 754.849
it: 155, temperature: 11.9011, curr value: 751.215, best value: 754.849
it: 156, temperature: 11.8886, curr value: 749.789, best value: 754.849
it: 157, temperature: 11.8761, curr value: 749.789, best value: 754.849
it: 158, temperature: 11.8638, curr value: 749.789, best value: 754.849
it: 159, temperature: 11.8515, curr value: 751.445, best value: 754.849
it: 160, temperature: 11.8394, curr value: 751.445, best value: 754.849
it: 161, temperature: 11.8273, curr value: 751.445, best value: 754.849
it: 162, temperature: 11.8154, curr value: 749.789, best value: 754.849
it: 163, temperature: 11.8035, curr value: 749.789, best value: 754.849
it: 164, temperature: 11.7918, curr value: 751.215, best value: 754.849
it: 165, temperature: 11.7801, curr value: 751.215, best value: 754.849
it: 166, temperature: 11.7686, curr value: 751.215, best value: 754.849
it: 167, temperature: 11.7571, curr value: 751.215, best value: 754.849
it: 168, temperature: 11.7457, curr value: 751.215, best value: 754.849
it: 169, temperature: 11.7344, curr value: 751.215, best value: 754.849
