best fitness,curr fitness,tabu list size
320.472809,295.106415,56
320.472809,308.763336,56
320.472809,310.132111,56
320.472809,310.858948,56
320.472809,311.118347,56
320.472809,311.582764,57
320.472809,311.734589,57
320.472809,311.433624,57
320.472809,311.071594,57
320.472809,309.018890,57
320.472809,307.843475,57
320.472809,309.846527,57
320.472809,309.924530,57
320.472809,309.924530,56
320.472809,311.288818,56
320.472809,311.590424,56
320.472809,310.651886,56
320.472809,308.381836,56
320.472809,311.548279,56
320.472809,311.395203,56
320.472809,312.172089,56
320.472809,311.859039,56
320.472809,312.517853,56
320.472809,312.517853,55
320.472809,320.011139,55
320.472809,319.346100,55
320.472809,319.895538,55
320.472809,318.635498,55
320.472809,318.948608,55
320.472809,316.513519,55
320.472809,316.513519,55
320.472809,316.052979,55
320.472809,317.351318,55
320.472809,319.790955,55
320.472809,320.390289,55
320.472809,320.102997,55
320.472809,320.011139,55
320.472809,315.123749,55
320.472809,318.646667,56
320.472809,318.838348,56
320.472809,318.125671,56
320.472809,316.401794,56
320.472809,318.125671,56
320.472809,313.597382,56
320.472809,315.340546,56
320.472809,314.812775,56
320.472809,314.230560,56
320.472809,316.269928,56
320.589935,320.589935,57
320.589935,319.352661,57
320.589935,318.050537,57
320.589935,318.773071,57
320.589935,319.387543,57
320.589935,319.978271,57
320.589935,318.091949,57
320.589935,320.533691,57
320.589935,320.533691,57
320.589935,317.364441,57
320.589935,314.936737,57
320.589935,318.091949,57
320.589935,316.326660,57
320.589935,318.100769,57
320.589935,316.674713,57
320.589935,317.074524,57
320.589935,317.303680,57
320.589935,312.888519,57
320.589935,313.080566,57
320.589935,313.111023,57
320.589935,318.717377,57
320.589935,318.584106,57
320.589935,312.258179,57
320.589935,318.584106,57
320.589935,318.949310,57
320.589935,319.470154,57
320.589935,317.599518,57
320.589935,318.130951,57
320.589935,316.081055,57
320.589935,313.487762,57
320.589935,316.081055,57
320.589935,317.638824,57
320.589935,317.638824,57
320.589935,318.148285,57
320.589935,316.513519,57
320.589935,318.948608,57
320.589935,319.531097,57
320.589935,319.531097,57
320.589935,316.269928,57
320.589935,318.948608,57
320.589935,319.048706,57
320.589935,318.474854,57
320.589935,320.533691,57
320.589935,320.585297,57
320.589935,319.648254,57
320.589935,320.585297,56
320.589935,317.783051,56
320.589935,319.387543,56
320.589935,319.978271,56
320.589935,319.154022,56
320.589935,319.840759,56
320.589935,319.947662,56
320.589935,320.441376,56
320.589935,299.835846,56
320.589935,312.217194,56
320.589935,313.152649,56
320.589935,311.369507,56
320.589935,311.369507,55
320.589935,311.998596,55
320.589935,301.456207,55
320.589935,311.598083,55
320.589935,311.598083,55
320.589935,311.998596,55
320.589935,312.592773,55
320.589935,312.723328,55
320.589935,313.175629,55
320.589935,313.175629,55
320.589935,313.175629,55
320.589935,313.175629,55
320.589935,311.157898,55
320.589935,311.157898,55
320.589935,311.157898,55
320.589935,312.723328,55
320.589935,305.146240,55
320.589935,305.149963,55
320.589935,304.858063,55
320.589935,304.883820,55
320.589935,304.368988,56
320.589935,303.108337,56
320.589935,304.807343,56
320.589935,304.807343,56
320.589935,304.807343,56
320.589935,308.341248,57
320.589935,308.341248,56
320.589935,313.739319,56
320.589935,312.949585,56
320.589935,311.988892,56
320.589935,304.888824,56
320.589935,309.082703,56
320.589935,311.525543,56
320.589935,319.752563,56
320.589935,319.001556,56
320.589935,316.931488,56
320.589935,318.572418,56
320.589935,320.175293,57
320.589935,315.803192,57
320.589935,315.631989,57
320.589935,315.631989,57
320.589935,315.510620,57
320.589935,317.892487,57
320.589935,319.642975,57
320.589935,318.619873,57
320.589935,319.396332,57
320.589935,318.698639,57
320.589935,318.698639,57
320.589935,319.219788,57
320.589935,319.381042,57
320.589935,318.271057,57
320.589935,318.012421,57
320.589935,314.436188,57
320.589935,313.283264,57
320.589935,316.244232,58
320.589935,319.122101,58
320.589935,318.454529,58
320.589935,317.752228,58
320.589935,320.352356,58
320.589935,320.272980,58
320.682098,320.682098,58
320.682098,313.698761,58
320.682098,315.628601,58
320.682098,317.409790,58
320.682098,315.745758,58
320.682098,317.409790,58
320.682098,318.516815,58
320.682098,319.349335,58
320.682098,318.109436,58
320.945343,320.945343,58
320.945343,320.945343,58
320.945343,320.567505,58
320.945343,319.940674,57
320.945343,319.940674,57
320.945343,320.165833,57
320.945343,316.345764,57
320.945343,315.665588,57
320.945343,316.499298,57
320.945343,316.499298,56
320.945343,316.958527,56
320.945343,316.499298,56
320.945343,315.844879,56
320.945343,313.020905,56
320.945343,318.933746,56
320.945343,318.933746,56
320.945343,318.722717,56
320.945343,319.439362,56
320.945343,318.722717,56
320.945343,319.840637,56
320.945343,317.660675,56
320.945343,317.154785,56
320.945343,319.840637,56
320.945343,314.776367,56
320.945343,314.317291,56
320.945343,316.438110,56
320.945343,314.682159,56
320.945343,313.569641,56
320.945343,315.364929,56
320.945343,316.827087,56
320.945343,311.119049,56
320.945343,313.197968,56
320.945343,315.984039,56
320.945343,317.143250,56
320.945343,317.114136,56
320.945343,317.114136,56
320.945343,319.761292,56
320.945343,319.811737,56
320.945343,319.292542,56
320.945343,318.669159,56
