candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 3.245140s
it: 126, best fitness: 320.473, curr fitness: 307.204, tabu list size: 56
it: 127, best fitness: 320.473, curr fitness: 307.365, tabu list size: 56
it: 128, best fitness: 320.473, curr fitness: 308.433, tabu list size: 56
it: 129, best fitness: 320.473, curr fitness: 312.887, tabu list size: 56
it: 130, best fitness: 320.473, curr fitness: 302.427, tabu list size: 56
it: 131, best fitness: 320.473, curr fitness: 297.471, tabu list size: 56
it: 132, best fitness: 320.473, curr fitness: 312.055, tabu list size: 56
it: 133, best fitness: 320.473, curr fitness: 312.055, tabu list size: 55
it: 134, best fitness: 320.473, curr fitness: 306.809, tabu list size: 55
it: 135, best fitness: 320.473, curr fitness: 306.809, tabu list size: 55
it: 136, best fitness: 320.473, curr fitness: 307.669, tabu list size: 55
it: 137, best fitness: 320.473, curr fitness: 307.669, tabu list size: 55
it: 138, best fitness: 320.473, curr fitness: 307.568, tabu list size: 55
it: 139, best fitness: 320.473, curr fitness: 307.568, tabu list size: 55
it: 140, best fitness: 320.473, curr fitness: 312.961, tabu list size: 55
it: 141, best fitness: 320.473, curr fitness: 311.56, tabu list size: 55
it: 142, best fitness: 320.473, curr fitness: 313.331, tabu list size: 55
it: 143, best fitness: 320.473, curr fitness: 307.8, tabu list size: 56
it: 144, best fitness: 320.473, curr fitness: 300.71, tabu list size: 56
it: 145, best fitness: 320.473, curr fitness: 301.935, tabu list size: 56
it: 146, best fitness: 320.473, curr fitness: 301.935, tabu list size: 56
it: 147, best fitness: 320.473, curr fitness: 282.357, tabu list size: 56
it: 148, best fitness: 320.473, curr fitness: 223.141, tabu list size: 56
it: 149, best fitness: 320.473, curr fitness: 220.813, tabu list size: 56
it: 150, best fitness: 320.473, curr fitness: 221.41, tabu list size: 56
it: 151, best fitness: 320.473, curr fitness: 286.46, tabu list size: 56
it: 152, best fitness: 320.473, curr fitness: 298.559, tabu list size: 56
it: 153, best fitness: 320.473, curr fitness: 302.029, tabu list size: 56
it: 154, best fitness: 320.473, curr fitness: 311.381, tabu list size: 56
it: 155, best fitness: 320.473, curr fitness: 312.68, tabu list size: 56
it: 156, best fitness: 320.473, curr fitness: 312.659, tabu list size: 56
