curr state net profit,temperature,mean threshold worse acceptance
85933.007812,38.584906,0.254448
88529.609375,38.546322,0.291736
83540.148438,38.507776,0.372665
84025.703125,38.469268,0.453437
80812.468750,38.430800,0.408569
82725.750000,38.392369,0.628436
80812.468750,38.353978,0.582716
81988.593750,38.315624,0.000000
73795.835938,38.277309,0.456562
79728.203125,38.239032,0.546901
77108.265625,38.200794,0.619301
74103.296875,38.162593,0.450309
70295.453125,38.124431,0.260943
81554.062500,38.086307,0.000000
70942.546875,38.048221,0.292211
79122.109375,38.010174,0.275606
84280.765625,37.972164,0.663623
77972.656250,37.934192,0.414834
79477.453125,37.896259,0.392906
79477.453125,37.858363,0.000000
62007.601562,37.820505,0.424586
72113.148438,37.782685,0.000000
74485.429688,37.744903,0.628904
80586.546875,37.707158,0.422724
70062.203125,37.669452,0.061356
70295.453125,37.631783,0.276608
80812.468750,37.594151,0.177317
77108.265625,37.556558,0.252631
85152.453125,37.519002,0.239556
89652.601562,37.481483,0.339568
92668.398438,37.444002,0.000000
89652.601562,37.406559,0.446900
89652.601562,37.369153,0.387341
86523.820312,37.331784,0.202522
83685.070312,37.294453,0.467474
83685.070312,37.257159,0.720630
83685.070312,37.219902,0.466763
87031.664062,37.182682,0.455639
83685.070312,37.145500,0.430918
89652.601562,37.108355,0.504208
89652.601562,37.071247,0.000000
87031.664062,37.034177,0.489671
87031.664062,36.997143,0.434858
