curr state net profit,temperature
31168.636719,108.120144
6464.135742,108.012026
0.000000,107.904015
0.000000,107.796112
10824.210938,107.688318
993.919434,107.580631
6383.697754,107.473052
1103.127686,107.365580
22505.009766,107.258216
1519.083984,107.150959
0.000000,107.043809
7103.900879,106.936767
687.551880,106.829831
1199.846436,106.723003
0.000000,106.616281
0.000000,106.509666
14288.338867,106.403158
4548.959961,106.296756
4071.113281,106.190461
1696.987793,106.084272
1835.468994,105.978189
1776.090820,105.872212
11868.908203,105.766341
7996.036621,105.660576
0.000000,105.554917
2084.614258,105.449364
13268.868164,105.343916
2751.202393,105.238573
4208.364258,105.133336
16432.882812,105.028204
24291.650391,104.923177
6728.755371,104.818255
2267.085449,104.713438
18183.146484,104.608726
13392.277344,104.504119
4361.257324,104.399616
3156.373047,104.295218
2189.026123,104.190924
3940.660156,104.086734
1071.035278,103.982649
2818.403320,103.878668
6653.663086,103.774790
9303.092773,103.671017
1548.470337,103.567347
11051.628906,103.463781
5606.899902,103.360319
0.000000,103.256960
5568.653809,103.153704
21023.472656,103.050552
23025.242188,102.947502
3166.334961,102.844556
3965.935303,102.741713
9518.833008,102.638973
0.000000,102.536335
4709.324219,102.433800
679.286682,102.331367
17718.650391,102.229037
11502.044922,102.126810
26261.119141,102.024684
17998.501953,101.922661
20109.082031,101.820739
3818.972168,101.718920
8554.619141,101.617202
12679.951172,101.515587
0.000000,101.414072
4343.068359,101.312659
21814.890625,101.211348
13784.175781,101.110138
1519.083984,101.009029
0.000000,100.908022
0.000000,100.807115
19572.781250,100.706309
12239.300781,100.605604
7909.892090,100.505000
1980.820801,100.404496
873.550781,100.304093
5755.785156,100.203790
752.906372,100.103587
4522.818359,100.003485
4369.469727,99.903483
1903.563477,99.803581
2827.422363,99.703778
3263.855469,99.604076
2374.948730,99.504473
26144.109375,99.404970
20214.984375,99.305566
523.146912,99.206262
1068.854004,99.107057
21814.890625,99.007951
0.000000,98.908945
0.000000,98.810037
5733.611328,98.711228
2743.736328,98.612518
9081.698242,98.513907
0.000000,98.415394
0.000000,98.316980
0.000000,98.218664
5766.511230,98.120447
7779.810547,98.022328
18313.914062,97.924307
12062.320312,97.826384
799.010010,97.728559
873.550781,97.630831
10221.191406,97.533202
11458.122070,97.435670
1776.090820,97.338235
1785.270996,97.240898
2319.337891,97.143659
22393.003906,97.046516
69488.703125,96.949471
69488.703125,96.852523
72341.640625,96.755672
18660.132812,96.658917
18212.953125,96.562259
2681.253418,96.465698
25765.644531,96.369234
6773.343262,96.272866
32548.804688,96.176594
2117.737061,96.080419
3990.439941,95.984340
20225.427734,95.888357
14839.398438,95.792470
938.351501,95.696678
11276.214844,95.600983
782.420410,95.505383
2788.436523,95.409879
19138.207031,95.314470
0.000000,95.219157
0.000000,95.123939
21439.779297,95.028816
7856.796387,94.933789
35651.449219,94.838856
4804.530762,94.744019
4263.845215,94.649276
1071.035278,94.554628
25221.300781,94.460074
4052.725586,94.365616
30223.187500,94.271251
20225.427734,94.176981
42076.585938,94.082805
1799.415771,93.988724
15284.909180,93.894736
2909.153320,93.800843
5606.899902,93.707043
37925.417969,93.613337
4967.348145,93.519725
6094.395508,93.426207
28074.251953,93.332782
0.000000,93.239450
9602.489258,93.146212
18785.878906,93.053067
2432.125488,92.960015
6547.416016,92.867056
5379.508301,92.774190
3842.628906,92.681417
0.000000,92.588737
0.000000,92.496149
8021.148438,92.403654
6265.397949,92.311252
1062.240479,92.218942
3053.306641,92.126724
2635.592285,92.034599
13406.033203,91.942565
33757.718750,91.850624
16724.472656,91.758774
5358.891113,91.667017
25734.703125,91.575351
3767.029785,91.483777
1476.537720,91.392294
26144.109375,91.300903
5329.683105,91.209603
19649.621094,91.118395
17155.460938,91.027278
23776.902344,90.936252
1737.619141,90.845317
