time,sma(1),entry level 1,entry level 2,entry level 3,entry level 4,sma(1)
1578351600,7654.36,7118.55,6888.92,6506.21,6123.49,7654.36
1578355200,7739.16,7197.41,6965.24,6578.28,6191.32,7739.16
1578358800,7851.4,7301.8,7066.26,6673.69,6281.12,7851.4
1578362400,7895.33,7342.65,7105.79,6711.03,6316.26,7895.33
1578366000,7908.55,7354.95,7117.69,6722.27,6326.84,7908.55
1578369600,7898.42,7345.53,7108.58,6713.65,6318.73,7898.42
1578373200,7865.51,7314.92,7078.96,6685.68,6292.41,7865.51
1578376800,7854.57,7304.75,7069.11,6676.38,6283.65,7854.57
1578380400,7867.37,7316.65,7080.63,6687.26,6293.89,7867.37
1578384000,7877.67,7326.23,7089.9,6696.02,6302.13,7877.67
1578387600,7884.95,7333,7096.46,6702.21,6307.96,7884.95
1578391200,7870.44,7319.51,7083.39,6689.87,6296.35,7870.44
1578394800,7872.86,7321.76,7085.57,6691.93,6298.29,7872.86
1578398400,7907.49,7353.96,7116.74,6721.36,6325.99,7907.49
1578402000,7879.99,7328.39,7091.99,6697.99,6303.99,7879.99
1578405600,7849.19,7299.75,7064.27,6671.81,6279.35,7849.19
1578409200,7852.16,7302.51,7066.94,6674.34,6281.73,7852.16
1578412800,7798.51,7252.61,7018.66,6628.73,6238.81,7798.51
1578416400,7835.01,7286.56,7051.51,6659.76,6268.01,7835.01
1578420000,7920.14,7365.73,7128.13,6732.12,6336.11,7920.14
1578423600,8007.95,7447.39,7207.15,6806.76,6406.36,8007.95
1578427200,8064.02,7499.54,7257.62,6854.41,6451.21,8064.02
1578430800,8113.16,7545.24,7301.84,6896.19,6490.53,8113.16
1578434400,8085.69,7519.69,7277.12,6872.83,6468.55,8085.69
1578438000,8019.69,7458.31,7217.72,6816.74,6415.75,8019.69
1578441600,8105.87,7538.46,7295.29,6889.99,6484.7,8105.87
1578445200,8293.69,7713.13,7464.32,7049.63,6634.95,8293.69
1578448800,8394.62,7807,7555.16,7135.43,6715.7,8394.62
1578452400,8332.07,7748.82,7498.86,7082.26,6665.65,8332.07
1578456000,8291.84,7711.41,7462.65,7048.06,6633.47,8291.84
1578459600,8322.21,7739.66,7489.99,7073.88,6657.77,8322.21
1578463200,8340.89,7757.02,7506.8,7089.75,6672.71,8340.89
1578466800,8340.13,7756.32,7506.11,7089.11,6672.1,8340.13
1578470400,8315.4,7733.32,7483.86,7068.09,6652.32,8315.4
1578474000,8300.82,7719.76,7470.73,7055.69,6640.65,8300.82
1578477600,8301.77,7720.65,7471.6,7056.51,6641.42,8301.77
1578481200,8316.79,7734.61,7485.11,7069.27,6653.43,8316.79
1578484800,8338.64,7754.94,7504.78,7087.84,6670.91,8338.64
1578488400,8310.42,7728.69,7479.38,7063.86,6648.34,8310.42
1578492000,8326.18,7743.35,7493.56,7077.25,6660.94,8326.18
1578495600,8316.24,7734.11,7484.62,7068.81,6652.99,8316.24
1578499200,8303.33,7722.09,7472.99,7057.83,6642.66,8303.33
1578502800,8201.72,7627.6,7381.55,6971.46,6561.38,8201.72
1578506400,8081.67,7515.95,7273.5,6869.42,6465.33,8081.67
1578510000,8065.33,7500.76,7258.8,6855.53,6452.26,8065.33
1578513600,8012.46,7451.59,7211.21,6810.59,6409.97,8012.46
1578517200,7985.11,7426.15,7186.6,6787.35,6388.09,7985.11
1578520800,8017.17,7455.97,7215.46,6814.6,6413.74,8017.17
1578524400,8040.52,7477.68,7236.47,6834.44,6432.41,8040.52
1578528000,8070.31,7505.39,7263.28,6859.76,6456.25,8070.31
1578531600,7998.81,7438.89,7198.93,6798.99,6399.05,7998.81
1578535200,7987.26,7428.15,7188.54,6789.17,6389.81,7987.26
1578538800,7998.2,7438.33,7198.38,6798.47,6398.56,7998.2
1578542400,7966.71,7409.04,7170.04,6771.7,6373.37,7966.71
1578546000,7957.03,7400.04,7161.33,6763.48,6365.62,7957.03
1578549600,7950.25,7393.73,7155.23,6757.71,6360.2,7950.25
1578553200,7924.54,7369.82,7132.08,6735.86,6339.63,7924.54
1578556800,7934.66,7379.23,7141.19,6744.46,6347.72,7934.66
1578560400,7936.95,7381.36,7143.26,6746.41,6349.56,7936.95
1578564000,7900.51,7347.47,7110.46,6715.43,6320.41,7900.51
1578567600,7888.88,7336.66,7099.99,6705.55,6311.11,7888.88
1578571200,7882.78,7330.98,7094.5,6700.36,6306.22,7882.78
1578574800,7891.9,7339.47,7102.71,6708.12,6313.52,7891.9
1578578400,7908.86,7355.24,7117.97,6722.53,6327.09,7908.86
1578582000,7894.55,7341.93,7105.09,6710.36,6315.64,7894.55
1578585600,7901.33,7348.23,7111.19,6716.13,6321.06,7901.33
1578589200,7862.56,7312.18,7076.3,6683.17,6290.04,7862.56
1578592800,7810.19,7263.47,7029.17,6638.66,6248.15,7810.19
1578596400,7807.42,7260.9,7026.68,6636.31,6245.94,7807.42
1578600000,7874,7322.82,7086.6,6692.9,6299.2,7874
1578603600,7885.21,7333.25,7096.69,6702.43,6308.17,7885.21
1578607200,7803.52,7257.27,7023.17,6632.99,6242.81,7803.52
1578610800,7815.8,7268.69,7034.22,6643.43,6252.64,7815.8
1578614400,7813.52,7266.57,7032.17,6641.49,6250.82,7813.52
1578618000,7825.72,7277.91,7043.14,6651.86,6260.57,7825.72
1578621600,7813.23,7266.31,7031.91,6641.25,6250.59,7813.23
1578625200,7806.75,7260.28,7026.08,6635.74,6245.4,7806.75
1578628800,7804.18,7257.88,7023.76,6633.55,6243.34,7804.18
1578632400,7800.4,7254.37,7020.36,6630.34,6240.32,7800.4
1578636000,7769.29,7225.44,6992.36,6603.89,6215.43,7769.29
1578639600,7748.63,7206.23,6973.77,6586.34,6198.91,7748.63
1578643200,7745.85,7203.64,6971.26,6583.97,6196.68,7745.85
1578646800,7723.49,7182.84,6951.14,6564.96,6178.79,7723.49
1578650400,7716.23,7176.09,6944.6,6558.79,6172.98,7716.23
1578654000,7736.97,7195.38,6963.28,6576.43,6189.58,7736.97
1578657600,7808.8,7262.18,7027.92,6637.48,6247.04,7808.8
1578661200,7861.5,7311.19,7075.35,6682.27,6289.2,7861.5
1578664800,7892.67,7340.19,7103.41,6708.77,6314.14,7892.67
1578668400,7920.55,7366.11,7128.5,6732.47,6336.44,7920.55
1578672000,8019.39,7458.03,7217.45,6816.48,6415.51,8019.39
1578675600,8022.3,7460.74,7220.07,6818.96,6417.84,8022.3
1578679200,7951.88,7395.25,7156.69,6759.1,6361.5,7951.88
1578682800,8017.07,7455.88,7215.37,6814.51,6413.66,8017.07
1578686400,8041.91,7478.98,7237.72,6835.63,6433.53,8041.91
1578690000,8067.62,7502.89,7260.86,6857.48,6454.1,8067.62
1578693600,8066.46,7501.81,7259.82,6856.49,6453.17,8066.46
1578697200,8055.45,7491.57,7249.91,6847.14,6444.36,8055.45
1578700800,8137.7,7568.06,7323.93,6917.04,6510.16,8137.7
1578704400,8171.88,7599.85,7354.69,6946.1,6537.51,8171.88
1578708000,8197.92,7624.06,7378.13,6968.23,6558.33,8197.92
1578711600,8195.87,7622.15,7376.28,6966.49,6556.69,8195.87
1578715200,8174.35,7602.14,7356.91,6948.2,6539.48,8174.35
1578718800,8139.4,7569.64,7325.46,6918.49,6511.52,8139.4
1578722400,8091.22,7524.83,7282.09,6877.53,6472.97,8091.22
1578726000,8098.27,7531.39,7288.45,6883.53,6478.62,8098.27
1578729600,8102.72,7535.53,7292.45,6887.31,6482.18,8102.72
1578733200,8065.25,7500.68,7258.72,6855.46,6452.2,8065.25
1578736800,8086.99,7520.91,7278.3,6873.95,6469.6,8086.99
1578740400,8082.04,7516.29,7273.83,6869.73,6465.63,8082.04
1578744000,8046.06,7482.84,7241.45,6839.15,6436.85,8046.06
1578747600,8048.56,7485.16,7243.71,6841.28,6438.85,8048.56
1578751200,8074.88,7509.64,7267.39,6863.65,6459.9,8074.88
1578754800,8082.37,7516.6,7274.13,6870.01,6465.9,8082.37
1578758400,8078.37,7512.88,7270.53,6866.61,6462.69,8078.37
1578762000,8129.83,7560.74,7316.85,6910.36,6503.86,8129.83
1578765600,8175.11,7602.86,7357.6,6948.85,6540.09,8175.11
1578769200,8163.7,7592.25,7347.33,6939.15,6530.96,8163.7
1578772800,8159.66,7588.49,7343.7,6935.71,6527.73,8159.66
1578776400,8161.01,7589.74,7344.91,6936.86,6528.81,8161.01
1578780000,8153.35,7582.62,7338.01,6930.35,6522.68,8153.35
1578783600,8089.59,7523.32,7280.64,6876.16,6471.68,8089.59
1578787200,8047.08,7483.79,7242.37,6840.02,6437.67,8047.08
1578790800,8030.23,7468.11,7227.2,6825.69,6424.18,8030.23
1578794400,8062.97,7498.56,7256.67,6853.52,6450.37,8062.97
1578798000,8080.38,7514.75,7272.34,6868.32,6464.3,8080.38
1578801600,8090.72,7524.37,7281.65,6877.11,6472.57,8090.72
1578805200,8085.17,7519.21,7276.66,6872.4,6468.14,8085.17
1578808800,8090.24,7523.93,7281.22,6876.71,6472.2,8090.24
