candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.806112
began: 2023-Apr-19 20:47:57
it: 0, temperature: 54, curr value: -35.2126, best value: -40.7431
it: 53, temperature: 10.8238, curr value: 100.808, best value: 138.123
it: 54, temperature: 10.7842, curr value: 122.569, best value: 138.123
it: 55, temperature: 10.7455, curr value: 129.94, best value: 138.123
it: 56, temperature: 10.7078, curr value: 117.883, best value: 138.123
it: 57, temperature: 10.671, curr value: 103.029, best value: 138.123
it: 58, temperature: 10.6351, curr value: 123.999, best value: 138.123
it: 59, temperature: 10.6, curr value: 119.572, best value: 138.123
it: 60, temperature: 10.5657, curr value: 122.753, best value: 138.123
it: 61, temperature: 10.5322, curr value: 41.0037, best value: 138.123
it: 62, temperature: 10.4994, curr value: 96.1498, best value: 138.123
it: 63, temperature: 10.4674, curr value: 58.9428, best value: 138.123
it: 64, temperature: 10.436, curr value: 51.2649, best value: 138.123
it: 65, temperature: 10.4053, curr value: 52.9223, best value: 138.123
it: 66, temperature: 10.3753, curr value: 108.414, best value: 138.123
it: 67, temperature: 10.3458, curr value: 101.67, best value: 138.123
it: 68, temperature: 10.3169, curr value: 111.485, best value: 138.123
it: 69, temperature: 10.2887, curr value: 124.701, best value: 138.123
it: 70, temperature: 10.2609, curr value: 122.799, best value: 138.123
it: 71, temperature: 10.2337, curr value: 65.5336, best value: 138.123
it: 72, temperature: 10.2071, curr value: 123.378, best value: 138.123
it: 73, temperature: 10.1809, curr value: 124.784, best value: 138.123
it: 74, temperature: 10.1552, curr value: 124.701, best value: 138.123
it: 75, temperature: 10.1299, curr value: 94.5951, best value: 138.123
it: 76, temperature: 10.1052, curr value: 116.269, best value: 138.123
it: 77, temperature: 10.0808, curr value: 81.9797, best value: 138.123
it: 78, temperature: 10.0569, curr value: 74.6917, best value: 138.123
it: 79, temperature: 10.0334, curr value: 103.796, best value: 138.123
it: 80, temperature: 10.0103, curr value: 88.4696, best value: 138.123
it: 81, temperature: 9.98757, curr value: 54.4995, best value: 138.123
it: 82, temperature: 9.96523, curr value: 69.3359, best value: 138.123
it: 83, temperature: 9.94326, curr value: 103.136, best value: 138.123
it: 84, temperature: 9.92164, curr value: 128.908, best value: 138.123
it: 85, temperature: 9.90036, curr value: 131.917, best value: 138.123
it: 86, temperature: 9.87942, curr value: 111.903, best value: 138.123
it: 87, temperature: 9.85881, curr value: 122.753, best value: 138.123
it: 88, temperature: 9.83851, curr value: 89.0973, best value: 138.123
it: 89, temperature: 9.81852, curr value: 127.004, best value: 138.123
it: 90, temperature: 9.79883, curr value: 119.085, best value: 138.123
it: 91, temperature: 9.77944, curr value: 103.057, best value: 138.123
it: 92, temperature: 9.76033, curr value: 124.731, best value: 138.123
it: 93, temperature: 9.7415, curr value: 127.004, best value: 138.123
it: 94, temperature: 9.72294, curr value: 112.71, best value: 138.123
it: 95, temperature: 9.70464, curr value: 44.008, best value: 138.123
it: 96, temperature: 9.6866, curr value: 66.3099, best value: 138.123
it: 97, temperature: 9.66881, curr value: 65.2757, best value: 138.123
it: 98, temperature: 9.65127, curr value: 66.4262, best value: 138.123
it: 99, temperature: 9.63396, curr value: 106.402, best value: 138.123
it: 100, temperature: 9.61689, curr value: 72.214, best value: 138.123
it: 101, temperature: 9.60005, curr value: 100.79, best value: 138.123
it: 102, temperature: 9.58342, curr value: 116.932, best value: 138.123
it: 103, temperature: 9.56702, curr value: 120.321, best value: 138.123
it: 104, temperature: 9.55083, curr value: 133.506, best value: 138.123
it: 105, temperature: 9.53484, curr value: 129.94, best value: 138.123
it: 106, temperature: 9.51906, curr value: 124.53, best value: 138.123
it: 107, temperature: 9.50348, curr value: 133.506, best value: 138.123
it: 108, temperature: 9.48809, curr value: 103.743, best value: 138.123
it: 109, temperature: 9.47289, curr value: 70.3793, best value: 138.123
it: 110, temperature: 9.45787, curr value: 124.731, best value: 138.123
it: 111, temperature: 9.44304, curr value: 130.795, best value: 138.123
it: 112, temperature: 9.42838, curr value: 126.424, best value: 138.123
it: 113, temperature: 9.4139, curr value: 130.618, best value: 138.123
it: 114, temperature: 9.39959, curr value: 130.618, best value: 138.123
it: 115, temperature: 9.38544, curr value: 131.917, best value: 138.123
it: 116, temperature: 9.37146, curr value: 130.618, best value: 138.123
it: 117, temperature: 9.35764, curr value: 90.3794, best value: 138.123
it: 118, temperature: 9.34398, curr value: 114.092, best value: 138.123
it: 119, temperature: 9.33047, curr value: 130.22, best value: 138.123
it: 120, temperature: 9.31711, curr value: 130.695, best value: 138.123
it: 121, temperature: 9.30389, curr value: 138.123, best value: 138.123
