best fitness,curr fitness,tabu list size
955.266418,954.244385,40
955.266418,940.451599,40
955.266418,940.451599,40
955.266418,940.451599,40
955.266418,911.790222,40
955.266418,919.165527,40
955.266418,919.165527,40
955.266418,922.809082,40
955.266418,951.788391,40
961.119507,961.119507,40
961.119507,933.831421,40
961.119507,914.518616,40
961.119507,914.518616,40
961.119507,947.001892,40
961.119507,954.244385,40
961.119507,947.152710,40
961.119507,934.223694,40
961.119507,920.638794,40
961.119507,924.728271,40
961.119507,920.638794,40
961.119507,920.638794,40
961.119507,926.273010,40
961.119507,940.511719,41
961.119507,909.102295,42
961.119507,909.102295,42
961.119507,843.149109,42
961.119507,909.177673,42
961.119507,946.177795,42
961.119507,930.202698,42
961.119507,935.723816,42
961.119507,922.198792,42
961.119507,918.470093,42
961.119507,870.534973,42
961.119507,875.099304,42
961.119507,878.595276,42
961.119507,909.110291,42
961.119507,934.175171,42
961.119507,934.618774,42
961.119507,927.350220,42
961.119507,931.374817,42
961.119507,875.247803,42
961.119507,897.726685,42
961.119507,897.726685,42
961.119507,894.167480,42
961.119507,920.098022,42
961.119507,915.567322,42
961.119507,919.581482,42
961.119507,916.129517,42
961.119507,887.583008,42
961.119507,887.583008,42
961.119507,885.049683,42
961.119507,897.314392,42
961.119507,900.924988,42
961.119507,728.087341,43
961.119507,707.781921,43
961.119507,765.399170,43
961.119507,758.190796,43
961.119507,777.110107,43
961.119507,874.534485,43
961.119507,853.736572,43
961.119507,860.115479,43
961.119507,904.135193,43
961.119507,918.168701,43
961.119507,928.514771,43
961.119507,934.889221,43
961.119507,926.825317,43
961.119507,752.326904,43
961.119507,817.508728,43
961.119507,781.192627,43
961.119507,834.598755,43
961.119507,834.598755,43
961.119507,839.323425,43
961.119507,860.420898,43
961.119507,832.653503,43
961.119507,843.208923,43
961.119507,862.472412,43
961.119507,848.144287,43
961.119507,834.383118,43
961.119507,815.655457,43
961.119507,815.655457,43
961.119507,851.770020,43
961.119507,840.152710,43
961.119507,833.913513,43
961.119507,833.913513,43
961.119507,854.475281,43
961.119507,854.475281,43
961.119507,854.475281,43
961.119507,854.475281,43
961.119507,854.475281,43
961.119507,860.857300,43
961.119507,854.475281,43
961.119507,862.898010,43
961.119507,794.586792,43
961.119507,786.898865,43
961.119507,826.501160,43
961.119507,816.833313,43
961.119507,822.857666,43
961.119507,795.337341,43
961.119507,822.857666,43
961.119507,821.391541,43
961.119507,854.170593,43
961.119507,870.825195,43
961.119507,839.952576,43
961.119507,835.309998,43
961.119507,835.309998,43
961.119507,824.773499,43
961.119507,875.882202,43
961.119507,885.393311,42
961.119507,911.515320,42
961.119507,911.515320,42
961.119507,892.877686,42
961.119507,910.892822,42
961.119507,910.892822,42
961.119507,910.892822,42
961.119507,910.892822,42
961.119507,910.892822,42
961.119507,924.262207,42
961.119507,928.338806,42
961.119507,927.356628,42
961.119507,920.276428,42
961.119507,923.456604,41
961.119507,916.243591,41
961.119507,935.560913,41
961.119507,929.097290,41
961.119507,929.298584,41
961.119507,910.191101,41
